name,lat,lng,type,state,district,iata
Warangal Airport,17.9140552,79.6036086,airport,,,WGC
Jeypore,18.8812875,82.552768,airport,,,PYB
Dibrugarh Mohanbari Airport,27.4854679,95.0170764,airport,,,DIB
Car Nicobar Air Force Station,9.156225,92.8215167,airport,,,CBD
Jindal Vijaynagar Airport,15.1751365,76.6332705,airport,,,VDY
Hasimara Air Force Station,26.7018159,89.3664783,airport,,,
Sookerating Airfield,27.551521,95.5728029,airport,,,
Chabua Air Force Station,27.4630047,95.1143134,airport,,,
Ondwa Airport,25.1427315,74.6119255,airport,,,
Suratgarh Airbase,29.3892059,73.9047136,airport,,,
Daulat Beg Oldi Advanced Landing Ground,35.392416,77.9290339,airport,,,
Sidhi,24.4017626,81.8147764,airport,,,
Amla Airstrip,21.9255887,78.1136848,airport,,,
Kovilpatti,9.1513936,77.8200061,airport,,,
Harihar Airstrip,14.5332953,75.7852162,airport,,,
Nuagaon Airstrip,20.5123864,83.4469754,airport,,,
Darbhanga Airport,26.1967856,85.9118892,airport,,,DBR
Aamby Valley Airfield,18.6101404,73.3783327,airport,,,
Turial,23.7458436,92.8030161,airport,,,
Naini Airfield (historical),25.3242387,81.8418173,airport,,,
Baljek Airstrip,25.6614876,90.3450394,airport,,,
Kochi Naval Airport,9.9473013,76.2722649,airport,,,
Basant Nagar Airstrip,18.70113,79.3931607,airport,,,RMD
Kayathar Airfield (Abandoned),8.9708582,77.8185157,airport,,,
RAF Garhbeta Abandoned Airbase,22.7850054,87.3592689,airport,,,
Mijicajan Airstrip,26.823096,93.2164283,airport,,,
Birpur Abandoned Airstrip,26.5089626,87.0181843,airport,,,
Walong Advanced Landing Ground,28.1286766,97.0189209,airport,,,
JK Airport,25.0206124,73.8985052,airport,,,
Piardoba Airbase (Abandoned),22.9897098,87.2975893,airport,,,
Phulbani Airstrip,20.4641278,84.2646873,airport,,,
Arasmeta Airstrip,21.9454339,82.3470783,airport,,,
Airport,27.5449321,95.2381291,airport,,,
Ulundurpet Airfield (Abandoned),11.6889803,79.3213256,airport,,,
Chettinad Airfield (Abandoned),10.1647238,78.7939438,airport,,,
Forbesganj Airport,26.2970291,87.2830426,airport,,,
Naval Air Station,11.6455322,92.7311771,airport,,,
Parma Valley ALG,33.8385806,78.324187,airport,,,
Tuljapur Heliport,17.9939389,76.0778198,airport,,,
Pandaveswar Airfield (Abandoned),23.6379076,87.3468355,airport,,,
jindal airport,21.9414194,83.3455408,airport,,,
Guru Jasnath Ji Airport Bikaner,28.0626456,73.2010322,airport,,बीकानेर,
Gannavaram Airport,16.5272362,80.7856839,airport,,,
Falcon airway,24.6612865,80.2591925,airport,,,
Sahnewal Airport - Ludhiana,30.8541233,75.9517801,airport,,,LUH
Thiruvananthapuram International Airport,8.4819569,76.9196331,airport,,,TRV
Chhatrapati Shivaji Maharaj International Airport,19.0901549,72.8629148,airport,,,BOM
Chennai International Airport,12.9933657,80.1672985,airport,,,MAA
Mangalore International Airport,12.9548535,74.8838396,airport,,,IXE
Lal Bahadur Shastri International Airport,25.4510739,82.8626882,airport,,,VNS
Veer Savarkar International Airport,11.6407486,92.7293121,airport,,,IXZ
Banaras Hindu University Airstrip And Flying Club,25.2536138,82.9910895,airport,,,
Tambaram Air Force Station,12.9035141,80.1213251,airport,,,
Jaipur International Airport,26.8280936,75.819108,airport,,,JAI
Allahabad Bamrauli Airport,25.4368975,81.7391851,airport,,,IXD
Vadodara Green Airport Harni,22.3364674,73.2267206,airport,,,BDQ
Coimbatore International Airport,11.0328859,77.0458672,airport,,,CJB
HAL Airport,12.9514789,77.6693458,airport,,,
Salem Airport,11.782305,78.0645289,airport,,,SXV
Begumpet Airport,17.4540907,78.4683198,airport,,,BPM
