name,lat,lng,type,state,district,operator
SBI,30.8681879,75.8592694,atm,,,
HDFC Bank,13.0391457,80.2572843,atm,,,HDFC Bank
HSBC Bank,28.4740435,77.0474903,atm,,,
HDFC Bank,28.4740963,77.0475761,atm,,,
AXIS Bank,28.5101062,77.1682153,atm,,,Axis Bank
Citi Bank,28.4767072,77.0633541,atm,,,Citibank
ICICI Bank,28.4109126,77.043077,atm,,,
ATM,28.4717609,77.1019571,atm,,,
State Bank of India,28.4741534,77.047729,atm,,,
HDFC Bank,28.4557573,77.0384039,atm,,,HDFC Bank
State Bank of India,28.4560738,77.0382109,atm,,,State Bank of India
ATM,28.4748625,77.0706974,atm,,,
SBI,11.4113078,76.7030035,atm,,,State Bank of India
Axis Bank,11.4078889,76.7068367,atm,,,Axis Bank
State Bank of India,11.6704,92.74206,atm,,,State Bank of India
Axis Bank,11.66411,92.73427,atm,,,Axis Bank
Citibank,12.9309141,77.5850854,atm,,,Citibank
Citibank ATM Jayanagar 7th Block,12.9238284,77.5763354,atm,,,Citibank
Citibank,12.8386743,77.6627528,atm,,,Citibank
CitiBank,28.5815718,77.3240838,atm,,,Citibank
Citibank,28.5815491,77.3241524,atm,,,Citibank
HDFC Bank,28.5765403,77.3351059,atm,,,HDFC Bank
ICICI Bank,28.5764197,77.3350801,atm,,,ICICI Bank
IDBI Bank,12.9604812,77.6385098,atm,,,IDBI Bank
ICICI Bank,12.9932203,80.1853385,atm,,,ICICI Bank
HDFC,30.1221099,77.2737713,atm,,,
Axis Bank,12.9601353,77.6431187,atm,,,Axis Bank
UTI,12.8589741,80.2408671,atm,,,
Kotak Mahindra Bank,12.9600367,77.6452495,atm,,,Kotak Mahindra Bank
Citibank,12.9600398,77.6452145,atm,,,Citibank
Indian Bank,12.9901845,80.2562651,atm,,,Indian Bank
State Bank of India,13.0821882,80.2763979,atm,,,State Bank of India
Canara Bank,13.0830047,80.2743817,atm,,,Canara Bank
Vijaya Bank ATM,11.4112307,76.707735,atm,,,
Standard Chartered,12.9853637,77.7081623,atm,,,Standard Chartered
State Bank of India,12.9864212,80.2345589,atm,,,State Bank of India
ICICI Bank,12.9871846,80.2375224,atm,,,ICICI Bank
HDFC Bank,10.9950806,76.9711401,atm,,,HDFC Bank
SBI,17.4463739,78.3495593,atm,,,State Bank
State Bank of India,17.4421128,78.4409912,atm,,,State Bank of India
Andhra Bank ATM,17.4420397,78.4410243,atm,,,Andhra Bank
IDBI Bank ATM,17.4421607,78.4409695,atm,,,IDBI Bank
State Bank,17.4424723,78.4426473,atm,,,State Bank
HDFC Bank,17.4424647,78.4427025,atm,,,HDFC Bank
ICICI Bank,28.6458869,77.1723786,atm,,,ICICI Bank
ATM,28.5691433,77.2193166,atm,,,
Canara Bank,17.4415542,78.4466539,atm,,,Canara Bank
Andhra Bank,17.4418452,78.4453112,atm,,,Andhra Bank
ICICI Bank,17.4406888,78.3923457,atm,,,ICICI Bank
HDFC Bank,13.0214305,80.2065688,atm,,,HDFC Bank
ICICI Bank,13.0086957,80.1960726,atm,,,ICICI Bank
Canara Bank,13.0200993,80.1853119,atm,,,Canara Bank
Axis Bank,13.0255546,80.17608,atm,,,Axis Bank
Karnataka Bank,13.0330479,80.161486,atm,,,Karnataka Bank
State Bank of India,13.0145165,77.5678632,atm,,,State Bank of India
Canara Bank,13.014655,77.5678658,atm,,,Canara Bank
State Bank of India,13.0403524,80.2468368,atm,,,State Bank of India
SBT,13.0383319,80.2473065,atm,,,
ICICI Bank,13.0503873,80.0991118,atm,,,ICICI Bank
ICICI Bank,13.0379504,80.2561125,atm,,,ICICI Bank
Indian Bank,13.0088634,80.2108563,atm,,,Indian Bank
Central Bank,13.0886267,80.2789117,atm,,,Central Bank
ICICI Bank,28.4529381,77.0507109,atm,,,ICICI Bank
