name,lat,lng,type,state,district
State Bank of India,12.8952509,77.6019087,bank,,
State Bank of India,30.8678384,75.8594668,bank,,
"ICICI, SBI, Citibank,",28.5336472,77.152001,bank,,
HDFC Bank,28.4400152,77.102391,bank,,
Kotak Mahindra Bank,8.5101775,76.962686,bank,,
Federal Bank,8.5074117,76.9620547,bank,,
ICICI Bank,12.9185225,77.6518418,bank,,
Karnataka Bank,12.9189346,77.65183,bank,,
Bank of Baroda,12.917181,77.6493619,bank,,
Standard Chartered Bank,28.4730702,77.0481254,bank,,
ICICI Bank,28.4758053,77.0448914,bank,,
HDFC Bank,28.4760015,77.0450545,bank,,
Standard Chartered,28.5583495,77.164161,bank,,
HSBC,28.4810092,77.0851086,bank,,
HDFC Bank,12.9185253,77.6704998,bank,,
State Bank of India,10.5445144,76.2130311,bank,,
Lord Krishna Bank,28.4795112,77.0831985,bank,,
Kotak Mahindra Bank;india,28.4808629,77.0848883,bank,,
"State Bank of India, B-Zone Branch",23.5675807,87.3178568,bank,,
UCO Bank,23.5685061,87.3179298,bank,,
Axis Bank,11.4079779,76.7067824,bank,,
ICICI Bank,28.525047,77.1570574,bank,,
Axis Bank,28.64725,77.194235,bank,,
Canara Bank,11.249128,75.776756,bank,,
State Bank of India,11.6687689,92.739692,bank,,
Bank,25.3429421,82.9815397,bank,,
ICICI Bank,28.4590293,77.076436,bank,,
HDFC Bank,28.4590161,77.0763889,bank,,
State Bank of India,13.0410323,80.2578002,bank,,
State Bank of India,13.0831682,80.2785099,bank,,
ICICI Bank,12.9331091,77.5835191,bank,,
State Bank of India,12.9365346,77.627846,bank,,
Canara Bank,12.9309193,77.5837775,bank,,
State Bank of India,12.9289702,77.5839921,bank,,
State Bank of India,11.8769919,75.3710979,bank,,
Karur Vysya Bank,13.0464174,80.2479934,bank,,
Canara Bank,13.0454637,80.247755,bank,,
ICICI Bank,12.9353555,77.6148616,bank,,
State Bank of India,12.9156177,77.6347321,bank,,
HDFC Bank,28.5723309,77.3219122,bank,,
Standard Chartered,28.5712009,77.3233972,bank,,
HSBC,28.5717128,77.323174,bank,,
State Bank of India,8.4994229,76.9485678,bank,,
Indian Bank,12.9806778,80.1869881,bank,,
Axis Bank,12.9828378,80.1883166,bank,,
Canara Bank,12.985929,80.1883597,bank,,
State Bank of India,12.9663937,80.189031,bank,,
Indian Bank,12.9664746,80.1892609,bank,,
HDFC Bank,12.9655924,80.1910107,bank,,
Vijaya Bank,12.9602773,77.6373781,bank,,
Union Bank of India,12.9606833,77.6381838,bank,,
Vijaya Bank Ooty Branch,11.4112711,76.7077556,bank,,
Karur Vysya Bank,11.0415163,76.9826001,bank,,
Punjab National Bank,11.0113022,76.9667545,bank,,
Punjab National Bank,11.0112887,76.9672054,bank,,
J&K Bank ATM,34.0544544,74.3996155,bank,,
