name,lat,lng,type,state,district,phone
"Regional Blood Bank, East Khasi Hills",25.5849929,91.8840072,blood_bank,Meghalaya,EAST KHASI HILLS,3642591629
Blood Bank - Rastrothana Trust,12.9545656,77.5653115,blood_bank,Karnataka,BENGALURU URBAN,8026610916
"Indian Red Cross Society, Blood Bank (Khaleelwadi)",18.6734302,78.1040509,blood_bank,Telangana,Nizamabad,8462222002
Kims Research Foundation Hospital Blood Bank,16.5910889,82.0224669,blood_bank,Andhra Pradesh,East Godavari,08856 237996; 08856 237997; 08856 237998
Sant Baba Rangi Ram Ji Charitable Hospital Blood Bank,31.6752739,75.6570974,blood_bank,Punjab,HOSHIARPUR,01886280266; 01886225025
Agra City Blood Bank,27.1791889,78.0023608,blood_bank,Uttar Pradesh,AGRA,5622262122
Friends Blood Bank,10.8015533,78.6840697,blood_bank,Tamil Nadu,TIRUCHIRAPPALLI,04312460646
Supratech Voluntary Blood Bank,23.0479402,72.5271143,blood_bank,Gujarat,AHMEDABAD,07940058958; 07940054400; 07940057317
"Odisha Red Cross Blood bank, SDH, Gunupur",19.0709727,83.8092839,blood_bank,Odisha,RAYAGADA,
Blood storage centre,10.1495118,76.2327585,blood_bank,,,
kjd,22.8197524,75.9431528,blood_bank,,,
Shubham Blood Bank,22.7305038,75.8978194,blood_bank,,,9827333573
Shri Satya Sai Blood Bank,22.7196604,75.9016657,blood_bank,,,07312590737
Aware gleneagles Global Hospital;Aware Gleneagles Global Hospital's Blood Bank,17.345958,78.5399126,blood_bank,Telangana,Hyderabad,"040 24111111;04024111111, Extn: 787"
Challa Hospital's Blood Bank,17.439663,78.4507272,blood_bank,Telangana,Hyderabad,4023731215
"Apollo Reach Hospitals - Apollo, Blood Bank",18.4567677,79.1350772,blood_bank,,,
Government General and Chest Hospital's Blood Bank,17.4452682,78.4349719,blood_bank,Telangana,Hyderabad,04023814939
St. Theresa's Hospital's Blood Bank,17.451852,78.4378123,blood_bank,Telangana,Hyderabad,04023802255; 04023812288
Life Care Voluntary Blood Bank,18.4434185,79.1297201,blood_bank,Telangana,Karimnagar,
Employees State Insurance Corporation Medical College Hospital's Blood Bank,17.4479524,78.4398884,blood_bank,Telangana,Hyderabad,04067872049
Kamineni Institute of Medical Sciences Blood Bank,17.1989768,79.2126467,blood_bank,Telangana,Nalgonda,
Usha Mullapudi Cardiac Centre's Blood Bank,17.5207011,78.4293033,blood_bank,Telangana,Hyderabad,"04023090609, Extn: 221&224"
Continental Hospital's Blood Bank,17.4175248,78.3394005,blood_bank,Telangana,Hyderabad,04067000000; Extn:1105
Yashoda Super Speciality Hospital's Blood Bank,17.424535,78.456934,blood_bank,Telangana,Hyderabad,4023319999
"Sarala, Blood Bank",17.5562482,80.6175759,blood_bank,Telangana,Khammam,
MNJ Institute of Oncology and Regional Cancer Centre's Blood Bank,17.3988988,78.4619683,blood_bank,,,
Global Hospital's Blood Bank,17.4052516,78.4630698,blood_bank,Telangana,Hyderabad,04023244444; 04030644444
The Govt. Niloufer Hospital's Blood Bank,17.3988911,78.4607211,blood_bank,,,
Health Agriculture Rural Development Society's (H.A.R.D) Blood Bank,17.396155,78.4630908,blood_bank,Telangana,Hyderabad,04023300859; 04023300959
MaxCure MediCiti Hospital's Blood Bank,17.4066692,78.4715277,blood_bank,Telangana,Hyderabad,04023231111
Rudhira Voluntary Blood Bank,17.4060166,78.4782815,blood_bank,Telangana,Hyderabad,04023220222
Lions Club Matadin Goel Blood Bank,17.4031142,78.4796762,blood_bank,Telangana,Hyderabad,04023226624
Apollo Hospital's Blood Bank,17.3994465,78.4791076,blood_bank,Telangana,Hyderabad,04023231380
Sathya Nursing Home's Blood Bank,17.4048085,78.482115,blood_bank,Telangana,Hyderabad,04066753026
Kamineni Health Services Pvt. Ltd's Blood Bank,17.3927149,78.4797567,blood_bank,Telangana,Hyderabad,04066924030; 04066924444
The Government Maternity Hospital's Blood bank,17.3860638,78.4871194,blood_bank,Telangana,Hyderabad,04023305967
Aditya Hospital's Blood Bank,17.3903806,78.4811582,blood_bank,Telangana,Hyderabad,04024763565
Care Hospital's Blood Bank,17.4125081,78.4503483,blood_bank,Telangana,Hyderabad,04030418296
Siva Multi Speciality Hospital's Blood Bank,17.251803,80.1439346,blood_bank,Telangana,Khammam,8742231883
Malla Reddy Institute of Medical Sciences & Hospital's Blood Bank,17.5454217,78.4323245,blood_bank,Telangana,Hyderabad,04023783000; Extn:3106
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,17.5441225,78.4331265,blood_bank,Telangana,Hyderabad,"04023783106; 04023783000, Extn:3106"
Aarohi Blood Bank,17.4112287,78.449771,blood_bank,,,040 23384212
Nizams Institute of Medical Sciences' Blood Bank,17.4218457,78.4519556,blood_bank,Telangana,Hyderabad,04023489722
Lions Club of Hyderabad(East) Bhanji Kheraj's Blood Bank,17.3852575,78.4800544,blood_bank,Telangana,Hyderabad,4024745243
Institute of Transfusion Medicine and Research's Blood Bank,17.4213083,78.4490816,blood_bank,Telangana,Hyderabad,04023328956
