name,lat,lng,type,state,district
Baby's Day Out,13.0275804,80.2526697,daycare,,
Anganwadi,9.5727235,77.0919952,daycare,,
Anganwadi,10.8541608,76.0858902,daycare,,
Anganvady,10.368096,76.4432579,daycare,,
University Nursery and Daycare,8.560584,76.8843307,daycare,,
Anganwadi,13.0740912,77.5667843,daycare,,
Kripanidhi Children's Clinic,13.6907899,75.24554,daycare,,
Sri Child Healthcare Center,12.9609927,77.5270583,daycare,,
Anganwadi,12.363635,76.41989,daycare,,
Anganwadi,12.365847,76.417841,daycare,,
Euro Kids,12.8474773,77.6513663,daycare,,
Madaplathuruth Anganavaadi,10.1765965,76.2040992,daycare,,
Daycare,19.0504002,72.8263818,daycare,,
Daycare,16.7133596,76.8403361,daycare,,
Anganwadi,16.5383576,76.8726663,daycare,,
Anganwadi,16.8334245,76.8151055,daycare,,
Daycare,16.8319688,76.8143678,daycare,,
Daycare,16.8031051,76.7762912,daycare,,
Anganwadi,9.6714041,76.6872576,daycare,,
Anganwadi,16.6313757,76.9162024,daycare,,
First Step ABC Montessori,12.295411,76.6181241,daycare,,
SEAL ASHRAM,18.9972371,73.1840806,daycare,,
Rising Star Nursery,18.5145861,73.8158977,daycare,,
Rani Jai Nursary,11.8540806,75.5703473,daycare,,
Little Elly,12.95223,77.6526779,daycare,,
Orchid-tree,13.0649791,77.631672,daycare,,
Daycare,12.9200614,77.5183905,daycare,,
Bambi,15.2773942,73.9568591,daycare,,
Kau Central Nursery,10.5455525,76.288333,daycare,,
"Whiz Kids Pre-School (Playgroup,Nursery,KG) & Learning Centre",15.279116,73.93523,daycare,,
Madhavaram botanical garden,13.1468582,80.2403952,daycare,,
Carona Balwadi,15.576691,73.87464,daycare,,
Agricultural University - Nursery,11.0137174,76.9321644,daycare,,
Anganwadi Moonam Mile,9.5259362,76.7792109,daycare,,
Anganvady,8.7965927,76.8113684,daycare,,
KRISHNA PATEL,25.2259296,80.9160703,daycare,,
Saint Anthony's Boys Home,15.6032197,73.8170945,daycare,,
Newborn and Child Care,15.6073019,73.8232083,daycare,,
La Reina Baby World,12.9395964,79.1648894,daycare,,
102 Kattathuruth Anganavadi,10.1727907,76.2022358,daycare,,
4 Kattathuruth Anganavadi,10.167082,76.2075144,daycare,,
Subodh Land S2,24.4001747,85.496939,daycare,,
Subodh Land S3,24.4003064,85.4969743,daycare,,
Subodh Land S4,24.4002911,85.4970934,daycare,,
Subodh land S6,24.4005314,85.4968244,daycare,,
Subodh land S1,24.4002111,85.4967673,daycare,,
Subodh Land S5,24.4003955,85.4971584,daycare,,
Tibetan nursing home,32.228301,76.3246111,daycare,,
Subodh land,24.4002651,85.4968363,daycare,,
Kudos Play School,12.9231251,80.1270073,daycare,,
Apple Kids,12.9215889,80.1292694,daycare,,
KLAY Prep Schools and Day Care,13.0145985,77.5768381,daycare,,
रंगराज उद्यान सुकमा,18.3887904,81.6656331,daycare,,
Modern Nursery School,10.8982697,79.2018584,daycare,,
Eager Beavers Preschool,19.0483938,72.8259001,daycare,,
Daycare,11.9496999,79.7995151,daycare,,
Early Spring Daycare,12.9549429,77.6610471,daycare,,
A Step Above,12.9552929,77.6617335,daycare,,
Ladder Preschool,12.9576929,77.6613081,daycare,,
Kids Castle Preschool,12.9550479,77.6587722,daycare,,
Kailash Baug,20.9050999,70.5268478,daycare,,
Creche cum Women's Amenity Centre,11.1358512,75.891474,daycare,,
Balavihar Daycare,8.5451204,76.8852789,daycare,,Trivandrum
Daycare,8.5740668,76.8903918,daycare,,
Daycare,8.5679247,76.8851653,daycare,,
