name,lat,lng,type,state,district,phone
Fire Station,13.0637765,80.2356816,fire_station,,,
Teynampet FS,13.0474469,80.249119,fire_station,,,
Sushant Lok Fire Station,28.463707,77.0729645,fire_station,,,
Thermal Plant,29.3437556,75.8633582,fire_station,,,
Fire Station,19.153935,73.2413432,fire_station,,,
Fire Station,28.5728012,77.1669817,fire_station,,,
Tirumala Fire Station,13.6852323,79.3513802,fire_station,,,
Bodakdev Fire Station,23.0398116,72.5163171,fire_station,,,
Memnagar Fire Station,23.0455062,72.5510013,fire_station,,,
S P Road Fire Station,17.4430832,78.4855137,fire_station,,,
Fire Station,18.9414817,72.8291567,fire_station,,,
Colaba Fire Station,18.9154546,72.8260531,fire_station,,,
Pune Cantonment Fire Station,18.4985647,73.8843225,fire_station,,,
Byculla,18.9724562,72.8319615,fire_station,,,
Fire Station,17.2566743,80.1489061,fire_station,,,
Fire Brigade Station,30.373246,75.5415021,fire_station,,,
Umerkhadi Fire Station,18.9579623,72.8326392,fire_station,,,
Hebbal Fire Station,13.0482487,77.6185279,fire_station,,,
Ganapathy FireStation,11.0391993,76.9975014,fire_station,,,
Shimla Fire Station,31.1047679,77.172949,fire_station,,,
Fire Station,28.5685669,77.1843122,fire_station,,,
Vashi Fire Station,19.0764046,72.9984708,fire_station,,,
Fire Brigade,30.4069295,74.0270955,fire_station,,,
New Panvel Fire Brigade,18.9960773,73.118969,fire_station,,,
"Suncity Road Fire Station, Pune",18.4754767,73.815447,fire_station,,,
Cantonment Board Ferozepur,30.9184337,74.6135671,fire_station,,,
Fire Station,13.2588958,76.4650062,fire_station,,,
Mettupalayam Fire Station,11.293845,76.9512395,fire_station,,,
Fire Station,15.4273768,75.6403975,fire_station,,,
Bhatha,30.0706105,75.9305447,fire_station,,,
Bhatha,30.0791243,75.9312206,fire_station,,,
Bhatha,30.270854,75.8739223,fire_station,,,
Bhatha,30.2800074,75.8869042,fire_station,,,
Firebrigade Station,30.9193136,75.8504599,fire_station,,,
Fire Station,23.2391268,69.6816396,fire_station,,,
Fire Station,10.8663508,72.1942038,fire_station,,,
Kollencode Fire Station,8.2844146,77.1171714,fire_station,,,
Tisaiyanvillai Fire Station,8.3371569,77.8530512,fire_station,,,
Fire Station,22.6914086,72.8639909,fire_station,,,
Davanagere Fire Station,14.4589706,75.9330419,fire_station,,,
Shimoga Fire Brigade,13.9301334,75.5675255,fire_station,,,
Fire Station,12.4252645,75.7271549,fire_station,,,
Surandai Fire Station,8.9708303,77.4201945,fire_station,,,
"Fire Brigade,Rampura Phul",30.2778626,75.2361164,fire_station,,,
Fire Station,12.5755389,75.3850992,fire_station,,,
Fire Station,26.802044,84.500647,fire_station,,,
Darjeeling Fire Station,27.023165,88.2550685,fire_station,,,
Fire Station,28.6470756,77.1812066,fire_station,,,
Fire Station,10.5871153,92.5577844,fire_station,,,
Fort Fire Brigade,18.9350735,72.8346417,fire_station,,,
Testing Fire Station,19.0396241,72.8538869,fire_station,,,
Kothrud Fire Station,18.4988894,73.8134797,fire_station,,,
Fire Station,25.4478206,81.8398891,fire_station,,,
Chembur Fire Station,19.0545248,72.8935199,fire_station,,,
Fire Station,22.3001135,73.2016377,fire_station,,,
Hassan Fire Station,13.0087261,76.1225793,fire_station,,,
Fire Brigade,24.7925609,93.0026068,fire_station,,,
Fire Station,13.0351313,80.2306922,fire_station,,,
Fire Station,21.1998152,72.8211618,fire_station,,,
Fire Station,23.8324366,91.2693858,fire_station,,,
Fire Station,28.6623205,77.0796272,fire_station,,,
Fire Station,26.3297468,94.5315681,fire_station,,,
West Bengal Fire Service HQ,22.5578935,88.3548699,fire_station,,,
Agnishaman Kendra,32.1168076,76.5391354,fire_station,,,+91189 4230232
balugaon fire station,19.7623809,85.2152493,fire_station,,,
Tamil Nadu Fire and Rescue Services,12.9436361,80.1335964,fire_station,,,"+91-44-22380206, 22382204"
Fire Station,16.9910852,81.7775268,fire_station,,,
Fire Station,17.0107216,81.7706951,fire_station,,,
Fire Station,15.0780509,76.5407272,fire_station,,,
Fire Station,17.4224207,78.5384579,fire_station,,,
BMM Fire station,15.1697997,76.3784035,fire_station,,,
fire station,19.8624301,75.3217396,fire_station,,,
fire station,17.6765933,77.6227466,fire_station,,,
Jonai Fire Service Station,27.8224397,95.2300422,fire_station,,,
Malakpet Fire Station,17.3684668,78.5018438,fire_station,,,040 2344 9213
Fire Station,27.1750867,77.9995102,fire_station,,,
Fire Station,19.0681874,73.131667,fire_station,,,
"Fire and Rescue Station, Perumade",9.5754439,76.9920458,fire_station,,,
Fire Station,23.3320464,86.362422,fire_station,,,
Nanded City Fire Station,18.4602367,73.7964936,fire_station,,,
Margao Fire Station,15.2693296,73.9703033,fire_station,,,
Fire Station,15.399766,73.82004,fire_station,,,
Verna IDC fire Station,15.36955,73.93553,fire_station,,,
Fire Station,11.6539413,78.1511353,fire_station,,,
Pondicherry Fire Department;Villa Labourdonna's Guest House,11.9260593,79.8319857,fire_station,,,
Shamshan Ghat Arnetu,29.9554399,76.2024233,fire_station,,,
Islampur agnishaman,17.0568591,74.2624907,fire_station,,,
CMC fire station,19.962083,79.2948375,fire_station,,,
Virudhunagar Fire Station,9.5934341,77.9539212,fire_station,,,
Fire Station,26.9369522,75.7573272,fire_station,,,01412466336
Fire Brigade,21.5931264,78.5315133,fire_station,,,
Sector 6 Fire Station,28.5973177,77.0640235,fire_station,,,
Airport Fire Station,21.1837232,81.7385071,fire_station,,,+91 78699 74230
Mehsana Muncipalty fire cantrol room,23.6065096,72.3902293,fire_station,,,
Malik,25.2586598,86.9967729,fire_station,,,
Cooch Behar Fire Service,26.3203356,89.4532897,fire_station,,,
Fire Station,19.4056705,72.8274691,fire_station,,,
Vellore Fire station,12.9141234,79.1312446,fire_station,,,
Fire and Rescue Station Vallarpadam,10.0695041,76.3136407,fire_station,,,
Fire Station,26.0044693,79.4536235,fire_station,,,
VVCMC FIRE BRIDGE HEAD OFFICE,19.405702,72.8278531,fire_station,,,
Singtam firestation,27.2330317,88.4989469,fire_station,,,
Fire station,21.107275,79.0803362,fire_station,,,
Fire Station,8.1778423,77.4259498,fire_station,,,04652-226571
Fire Station,14.8348213,76.2325067,fire_station,,,
Fire Station,14.7830263,76.0000756,fire_station,,,
FIRE STATION,17.3570131,82.5375973,fire_station,,,
Bhimavaram Fire station,16.543177,81.5340301,fire_station,,,
Dharamsala Fire Brigade,32.215155,76.3181249,fire_station,,,
Tawa Delight,19.0392786,73.0992311,fire_station,,,
Fire Station,13.3266365,76.2470509,fire_station,,,
Fire Station Chanakyapuri,28.602644,77.1903646,fire_station,,,+91-11-2611-2266
Fire Station,11.674235,92.7372903,fire_station,,,
MBmc fire station,19.2805939,72.8722386,fire_station,,,
Garamur fire & emergency services station,26.9747805,94.1579109,fire_station,,,
Fire Station,12.8310173,80.2224311,fire_station,,,
Fire service station;Fire Force Service center,12.9768528,80.2276341,fire_station,,,
Jagtial Fire Station,18.7891967,78.9147845,fire_station,,,
Fire Station,28.6214349,77.2076446,fire_station,,,
Fire Station Mandi,31.70198,76.9444758,fire_station,,,
Pedda Gantyada Fore Station,17.6680242,83.2078233,fire_station,,,
Fire Station,31.4114767,76.8634132,fire_station,,,
Fire Station Chidambaram,11.3939609,79.7027245,fire_station,,,
Nelamangala Fire Station,13.0997201,77.3893592,fire_station,,,
Fire Station,30.3450796,78.0188228,fire_station,,,
Fire Station Naraina,28.6329962,77.1390034,fire_station,,,
Fire Brigade,25.7135089,94.1040787,fire_station,,,
Palacode Fire Station,12.2959669,78.074067,fire_station,,,
Fire Station,17.0162993,81.7330233,fire_station,,,
"Fire Station, Yemmiganur",15.7557514,77.4582404,fire_station,,,
Chatrapur Fire Station,19.358266,84.9942514,fire_station,,,+91 262600
Fire Control Room,11.9519146,79.8001124,fire_station,,,
Fire Station,28.659476,77.216097,fire_station,,,
Usha fire brigade,22.5013761,88.3617659,fire_station,,,
Fire Station,18.7767219,84.09481,fire_station,,,
Fire Station,32.0980808,76.2833039,fire_station,,,
Fire Station,12.4172969,76.6881238,fire_station,,,
Ranirbazar fire service station,23.8289581,91.3759635,fire_station,,,
Fire Station,23.8581267,91.2906149,fire_station,,,
Fire Station,23.5384626,87.2951191,fire_station,,,
"Mulkalagudem, 33/11 KV Sub Station",17.913565,79.534375,fire_station,,,
"Fire Station, Nagarkurnool",16.5007831,78.2869976,fire_station,,,
