name,lat,lng,type,state,district,beds,emergency
"Gurdev Hospital, Ludhiana",30.8884203,75.79153,hospital,Punjab,Ludhiana,,
"ਕਮਿਊਨਿਟੀ ਹੈਲਥ ਸੈਂਟਰ, ਸਾਹਨੇਵਾਲ",30.8406998,75.9795755,hospital,Punjab,Ludhiana,,
Nampalli,16.8862748,78.9608692,hospital,,,,
SREC Health Center,11.1005451,76.9637445,hospital,,,,
Kalaignar Karunanidhi Nagar,13.0386493,80.2052158,hospital,,,,
Kasimedu,13.122775,80.2960584,hospital,,,,
"Paras Hospital, Gurgaon",28.4509689,77.0875533,hospital,Haryana,Gurgaon,,
Amrit Hospital,13.0922007,80.2792912,hospital,Tamil Nadu,Chennai,,
Vikram Hospital,13.0985007,80.2796178,hospital,,,,
City Tower Hospitals,13.08438,80.2160862,hospital,Tamil Nadu,Chennai,,
Max Hospital,28.462841,77.0759312,hospital,,,,
Swamy Hospital,12.8550625,77.6642727,hospital,,,,
Clinic,12.9134182,77.6774852,hospital,,,,
Government Hospital,11.4085627,76.7002627,hospital,Tamil Nadu,The Nilgiris,,
Sri Ramakrishna Dental Hospital,11.0212988,76.9883526,hospital,,,,
"Apollo Hospitals, Tondiarpet",13.1289367,80.2905623,hospital,Tamil Nadu,Chennai,,
Hospital,25.2780626,82.954338,hospital,,,,
Mata Anandmayee Hosiptal,25.2929029,83.0055074,hospital,,,,
Hospital,25.2986311,83.0021003,hospital,,,,
Hospital,25.3162104,83.0050584,hospital,,,,
Hospital,25.3384937,82.9959608,hospital,,,,
Punjabi Hospital,25.3460988,83.0372616,hospital,,,,
K.H.M.Hospital,13.0844424,80.2130723,hospital,Tamil Nadu,Chennai,,
Sundaram Medical Foundation,13.08217,80.2069819,hospital,Tamil Nadu,Chennai,,
Sri Devi Speciality Hospial,13.0887983,80.1994692,hospital,Tamil Nadu,Chennai,,
Govt. Medical College,21.1295149,79.0974689,hospital,,,,yes
Indira Gandhi Medical College & Hospital,21.1541868,79.0936492,hospital,,,,yes
Prakash Hospital Pvt Ltd,28.5854878,77.3494026,hospital,Uttar Pradesh,Gautam Buddha Nagar,,yes
Corporation Hospital,13.0336624,80.2572467,hospital,,,,
Shanti Hospital,12.9235041,77.5857517,hospital,,,,
Apollo Hospital,12.9263714,77.6765455,hospital,Karnataka,,,
Aravind Ayurvedic Hospital,9.363999,76.5925769,hospital,Kerala,Pathanamthitta,,
Highland Hospital,12.8663995,74.854664,hospital,Karnataka,Dakshina Kannada,,yes
Sumitra Hospital,28.5818659,77.3529095,hospital,,,,
"Hindu Mission Health Services, Kanchipuram",12.9787682,80.1846471,hospital,Tamil Nadu,Kanchipuram,,
Narayana Hrudayalaya Dental Clinic,12.9155759,77.6349897,hospital,,,,
Parvathy Nursing Home,11.4156645,76.7088458,hospital,Tamil Nadu,The Nilgiris,,
Military Hospital,13.0194622,80.1972947,hospital,,,,
Dr Ganesh Medical and Diabetic Clinic,12.9129006,77.6419101,hospital,,,,
Goverment dental hospital & collage,13.0829605,80.281264,hospital,,,,
Kilpauk Medical College,13.0785984,80.2433369,hospital,,,,
Hariharan Hospital,12.9847145,80.1905906,hospital,Tamil Nadu,Chennai,,
BM Hospital,12.9887616,80.1904116,hospital,,,,
K.F. Hospital,12.973463,80.1841397,hospital,Tamil Nadu,Kanchipuram,,
Aparna hospital,29.6067647,76.9789582,hospital,,,,
Cancer Institute,13.0061338,80.239884,hospital,,,,
Sri Ramachandra Medical Centre and Hospital,13.0380979,80.1428047,hospital,,,,
Govt Maternity Hospital,13.0720996,80.2589871,hospital,,,,
Institute of Child Health,13.0735496,80.257025,hospital,,,,
Institute of Obstetrics and Gynaecology dd,13.0735431,80.2591463,hospital,,,,
Ellen Multispeciality Hospital,11.0213634,76.9708723,hospital,,,,
GP Hospital,11.0201233,76.9710726,hospital,,,,
S. Waryam Singh Hospital,31.6333898,74.8765817,hospital,,,,yes
Metro Hospital And Research Institute,22.33499,73.2089837,hospital,Gujarat,Vadodara,,
Mental Hospital,22.3176736,73.1989415,hospital,,,,
Saravana Dental Care Hospital,11.0028292,76.9513725,hospital,,,,
Senthil Hospital,11.0089752,76.9578034,hospital,,,,
Dr. S. G. Rajarathinam Hospital,11.0095256,76.9619316,hospital,Tamil Nadu,Coimbatore,,
"K. G. Hospital, Coimbatore",11.0004227,76.9715023,hospital,Tamil Nadu,Coimbatore,,
Bel Air Hospital,17.9214501,73.79792,hospital,,,,
Saint Anne's Hospital,19.2733799,72.883476,hospital,,,,
Sengaliappan Nursing Home,11.0165542,76.955239,hospital,,,,
Thrikkakara Municipal Co-operative Hospital,10.01816,76.34672,hospital,,,,
vengola govt homoeo dispensary,10.0971798,76.4511132,hospital,,,,
"Sunrise Hospital, Ernakulam",10.0252315,76.3388796,hospital,Kerala,Ernakulam,,
National Centre for Training and Research into Cerebral Palsy,19.0516428,72.8321317,hospital,,,,
Vikram Hospitals,17.4406857,78.3916647,hospital,Telangana,Hyderabad,,
Image Hospitals,17.4444337,78.3860746,hospital,Telangana,Hyderabad,,
DAE Hospital,12.5037319,80.159635,hospital,,,,
Maheswan Hospital,26.9170423,70.9053368,hospital,,,,
Mahatma Gandhi Hospital,26.2831291,73.0185635,hospital,,,,
JBS Hospital,12.9207173,77.5745968,hospital,,,,
Jayanagar heart Centre,12.9231684,77.584433,hospital,,,,
MIOT International,13.0211808,80.1858412,hospital,Tamil Nadu,Chennai,,
St. Thomas Hospital,13.0122733,80.196428,hospital,Tamil Nadu,Kanchipuram,,
Govt Primary Health Centre,12.5274531,80.1631378,hospital,,,,
Hospital,13.009781,80.1949734,hospital,,,,
Venkataeswara Hospitals,13.0293624,80.2440921,hospital,Tamil Nadu,Chennai,,
Government Hospital,12.7289287,77.8253132,hospital,,,,
Ayurvedic Hospital,13.6800047,79.350315,hospital,,,,
Hospital,13.681619,79.3466609,hospital,,,,
Hospital,26.9703467,78.9570054,hospital,,,,
Amarjit Nursing Home,30.9002751,75.8250965,hospital,,,,
Pushpanjali Hospital,28.4508125,77.0328448,hospital,,,,
Jivraj Mehta Hospital,23.0085819,72.5432503,hospital,,,,
Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.,23.0487566,72.5312683,hospital,Gujarat,Ahmedabad,,
PGI Emergency,30.7611013,76.7762212,hospital,,,,yes
Sarswathi Hospital,12.9653846,80.2067733,hospital,,,,
Sri Vijayalakshmi Pragathi Hospital,13.0371728,77.6409543,hospital,,,,
gracian hospital,30.8893778,75.8195586,hospital,,,,
Sathya Hospital,13.0185503,77.6364728,hospital,,,,
Jasmine Hospital And Wow Clinic,19.1486707,72.9998192,hospital,Maharashtra,Thane,,
Ramakrishna Hospital,12.8500655,77.6624706,hospital,,,,yes
Apollo Clinic & Pharmacy,13.05244,80.2041657,hospital,,,,
Vijaya Heart Centre,13.0483819,80.2070144,hospital,,,,
ESI Hospital,12.3383212,76.6323943,hospital,,,,yes
Adithya Adhikari Hospital,12.3315512,76.6271812,hospital,Karnataka,Mysuru,,
S.K.,30.8798617,75.8591291,hospital,,,,
Astha Hospital,28.3509265,77.0649209,hospital,,,,
Gobind Hospital,28.3905221,77.0491169,hospital,,,,
Sai Heart and Trauma Center,28.3978752,77.0455899,hospital,,,,
Hospital,34.5491569,77.5529759,hospital,,,,
Hospital,34.0329113,78.1680282,hospital,,,,
Ameerpet Government Hospital,17.4417142,78.4478775,hospital,,,,
Sri Vijaya Hospitals,17.4422795,78.4480341,hospital,,,,
PAMC Hospital (Pandian Advanced Medical Centre),9.9267975,78.1420027,hospital,Tamil Nadu,Madurai,,
Aravind Eye Hospitals,9.9212003,78.1398805,hospital,Tamil Nadu,Madurai,,
Government Vetinary Hospital,9.9317265,78.1401058,hospital,,,,
Chord Road Hospital Pvt Ltd,12.9981215,77.5404836,hospital,Karnataka,Bengaluru Urban,,
Government Hospital,10.2512627,78.8135488,hospital,,,,
Pristline Hospital,12.9978931,77.5436127,hospital,,,,
Sree Priya Multi Speciality Hospital,17.4415414,78.4461255,hospital,,,,no
B.M.Orthopaedic Hospital,13.1181104,80.1499411,hospital,Tamil Nadu,Tiruvallur,,
Ashoka Clinic,12.2922036,76.6423443,hospital,,,,
MES Hospital,11.0611294,76.3442394,hospital,,,,
Dhanvantari Hospitals Pvt.Ltd.,19.1645468,73.2393372,hospital,Maharashtra,Thane,,
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",12.9376734,77.5802836,hospital,Karnataka,Bengaluru Urban,,
Mahindroo Nursing Home,31.5394004,76.8964948,hospital,,,,
Landour Community hospital,30.4589803,78.0951087,hospital,Uttarakhand,Dehradun,,
skandan nursing home,12.9447938,80.1405596,hospital,,,,
"Vasan Eye Care Hospital, Vadapalani",13.0495316,80.211027,hospital,Tamil Nadu,Chennai,,
Eye,30.3351251,76.4078909,hospital,,,,
Gian Sagar Hospital,30.5285796,76.6716594,hospital,Punjab,Patiala,,
JJ Hospital,13.0571293,80.1942138,hospital,,,,
Regional Institute of Ophthalmology,8.4998439,76.9410501,hospital,,,,
Dr Govindans Hospital,8.4986554,76.9431315,hospital,Kerala,Thiruvananthapuram,,
Hospital,23.0924908,72.5917525,hospital,,,,
govt. hospital uggi,31.2133989,75.4265073,hospital,,,,
Thottabhagam Hospital,9.3852283,76.6153372,hospital,,,,yes
Manipal Northside Hospital,13.0011275,77.5639285,hospital,Karnataka,Bengaluru Urban,,
Rahmat Ali hospital,17.3672265,78.4859878,hospital,,,,
"Aurvedic Hospital, Maholi",31.3548222,77.3876512,hospital,,,,
Saritha Clinic,17.2557178,80.1457999,hospital,,,,
Janata Hospital,17.2481922,80.1464407,hospital,,,,
Praja vaidyasala (YRK),17.2411982,80.1384703,hospital,,,,
Base Hospital Delhi Cantt,28.6082403,77.1366732,hospital,,,,
Satya Hospital,17.407574,78.512174,hospital,,,,
Syamala Hospital,17.2480311,80.1513428,hospital,Telangana,Khammam,,
Ramanathan Hospital,10.7729537,79.1331354,hospital,,,,
Silent Valley Hospital,10.0794143,77.1674719,hospital,,,,
"S.B. Hospital Urology, Nephrology & Fertility Research Centre",10.7755458,79.1254,hospital,Tamil Nadu,Thanjavur,,
Government Hospital,12.5246186,76.8998873,hospital,,,,
Nakrekal,17.1611289,79.4348558,hospital,,,,
Hospital,25.929208,83.5665555,hospital,,,,
Government Primary Health Centre,12.9503234,77.6162619,hospital,,,,
Innova Children's Heart Hospital,17.4293162,78.533452,hospital,Telangana,Hyderabad,,
Apollo Clinic,17.4290954,78.5333362,hospital,,,,
AVM Medical Centre,10.7876968,79.1384135,hospital,,,,
Divakars speciality Hospital,12.9100629,77.5924585,hospital,Karnataka,Bengaluru Urban,,
Shashi,17.2474829,80.1508547,hospital,,,,
eye hospital,17.2491831,80.1513059,hospital,,,,
District Govt Hospital,17.2498453,80.1521517,hospital,Telangana,Khammam,,yes
KRA Hospital,10.7869754,79.1397985,hospital,,,,
Hema Poly Clinic,12.960765,77.7137961,hospital,,,,
Adichunchanagiri Hospital,12.9661122,76.7228216,hospital,,,,yes
Sardar Patel Cantonment General Hospital,18.5027163,73.87712,hospital,Maharashtra,Pune,,
TMA Pai Hospital,13.3326012,74.7471694,hospital,,,,
Vishnu Clinic,17.2530296,80.1403907,hospital,,,,
Praja Vaidyasala,17.2574018,80.149205,hospital,,,,
Kanakadurga clinic,17.2617203,80.1435632,hospital,,,,
Dr. Babasaheb Ambedkar Cantonment General Hospital,18.569025,73.8486994,hospital,Maharashtra,,,
Alphonsa Eye Hospital,9.7088081,76.6765231,hospital,,,,
Command Hospital Southern Command,18.5005828,73.8894328,hospital,Maharashtra,,,
Neomed Hospital,9.9291508,78.148482,hospital,Tamil Nadu,Madurai,,
General Hospital,9.711455,76.6809641,hospital,Kerala,Kottayam,,yes
BMTC Hospital,12.9234317,77.5923374,hospital,,,,
District Hospital,16.8254015,75.69243,hospital,,,,
Borivali West,19.2298129,72.8471376,hospital,,Maharashtra,,yes
RamaKrishna Nursing Home,17.2515488,80.1393924,hospital,,,,
KMCH Hospital,11.2788797,77.5848796,hospital,,,,
Vasavi ENT Hospital,17.40681,78.4645023,hospital,,,,
Mahavir Hospital and Research Centre,17.4036641,78.4570626,hospital,Telangana,Hyderabad,,
Old Apollo Hospital,17.3985586,78.4814113,hospital,,,,
Krishna Children's Hospital,17.4021334,78.4625295,hospital,Telangana,Hyderabad,,
St Mary's Hospital,17.2378501,80.1457789,hospital,,,,
Lumbini Hospital,17.2503535,80.1398262,hospital,Telangana,Khammam,,
"Mar Kavukatt Memorial Hospital, Anthinad",9.7473158,76.703386,hospital,Kerala,Kottayam,,
"Medilink Hospital, Ahmedabad",23.0173915,72.5304396,hospital,Gujarat,Ahmedabad,,
Sri Charaka Ayurveda,17.2519673,80.1577268,hospital,,,,
Saint soham hospital private,28.7983668,77.0352715,hospital,,,,
