name,lat,lng,type,state,district,line,operator
Ramesh Nagar,28.6527444,77.1316496,metro_station,,,,Delhi Metro Rail Corporation Limited
Patel Nagar,28.6450127,77.1692817,metro_station,,,,Delhi Metro Rail Corporation Limited
Rithala,28.7208064,77.1071813,metro_station,,,,Delhi Metro Rail Corporation Limited
Pratap Nagar,28.6667177,77.1988974,metro_station,,,,Delhi Metro Rail Corporation Limited
Pul Bangash,28.6664068,77.2074156,metro_station,,,,Delhi Metro Rail Corporation Limited
Kashmere Gate,28.6674493,77.2282488,metro_station,,,,Delhi Metro Rail Corporation Limited
Kohat Enclave,28.6980415,77.1405393,metro_station,,,,Delhi Metro Rail Corporation Limited
Karol Bagh,28.6440122,77.1885235,metro_station,,,,Delhi Metro Rail Corporation Limited
Kirti Nagar (Blue Line),28.655746,77.1506635,metro_station,,,,Delhi Metro Rail Corporation Limited
Shadipur,28.6515829,77.1582587,metro_station,,,,Delhi Metro Rail Corporation Limited
Moti Nagar,28.657859,77.1424288,metro_station,,,,Delhi Metro Rail Corporation Limited
Sikanderpur,28.4812716,77.0930017,metro_station,,,,Delhi Metro Rail Corporation Limited
Delhi Aerocity,28.5487786,77.1207949,metro_station,,,,Delhi Metro Rail Corporation Limited
Hauz Khas (Yellow Line),28.5442564,77.2067072,metro_station,,,,Delhi Metro Rail Corporation Limited
Shivaji Stadium,28.6288963,77.2113218,metro_station,,,,Delhi Metro Rail Corporation Limited
New Delhi,28.6434826,77.2227421,metro_station,,,,Delhi Metro Rail Corporation Limited
Tis Hazari,28.6671626,77.2166306,metro_station,,,,Delhi Metro Rail Corporation Limited
Mannadi,13.095369,80.2860786,metro_station,,,,Chennai Metro Rail Limited
அரசினர் தோட்டம்,13.0697128,80.2730041,metro_station,,,,Chennai Metro Rail Limited
Shastri Park,28.6684339,77.2505301,metro_station,,,,Delhi Metro Rail Corporation Limited
Seelampur,28.6698165,77.2668137,metro_station,,,,Delhi Metro Rail Corporation Limited
Welcome (Red Line),28.6717907,77.2778473,metro_station,,,,Delhi Metro Rail Corporation Limited
Shahdara,28.6734298,77.2898858,metro_station,,,,Delhi Metro Rail Corporation Limited
Jhilmil,28.6757197,77.3123949,metro_station,,,,Delhi Metro Rail Corporation Limited
Shastri Nagar,28.6700885,77.1818589,metro_station,,,,Delhi Metro Rail Corporation Limited
Inderlok (Red Line),28.6735891,77.1703467,metro_station,,,,Delhi Metro Rail Corporation Limited
Kanhaiya Nagar,28.6824082,77.1647754,metro_station,,,,Delhi Metro Rail Corporation Limited
Keshav Puram,28.6889264,77.1616833,metro_station,,,,Delhi Metro Rail Corporation Limited
Netaji Subhash Place (Red Line),28.6960485,77.1524856,metro_station,,,,Delhi Metro Rail Corporation Limited
Pitam Pura,28.7032676,77.1322497,metro_station,,,,Delhi Metro Rail Corporation Limited
Rohini East,28.7075774,77.1259971,metro_station,,,,Delhi Metro Rail Corporation Limited
GTB Nagar,28.6981333,77.2063998,metro_station,,,,Delhi Metro Rail Corporation Limited
IGI Airport,28.5564626,77.0866995,metro_station,,,,Delhi Metro Rail Corporation Limited
Kalkaji Mandir,28.5494785,77.25909,metro_station,,,,Delhi Metro Rail Corporation Limited
Dhaula Kuan,28.5918719,77.1617158,metro_station,,,,Delhi Metro Rail Corporation Limited
New Delhi Airport Express Terminal,28.6424786,77.2231116,metro_station,,,,Delhi Metro Rail Corporation Limited
Durgapura Metro (u/c),26.8355542,75.7936432,metro_station,,,,NWR
Ambabadi Metro (u/c),26.9397287,75.7777965,metro_station,,,,Jaipur Metro Rail Corporation Limited
Jungametta (u/c),17.3353179,78.4683887,metro_station,,,,Hyderabad Metro Rail Limited
Charminar (u/c),17.3619252,78.4799909,metro_station,,,,Hyderabad Metro Rail Limited
Shamserganj (u/c),17.3408101,78.4683869,metro_station,,,,Hyderabad Metro Rail Limited
Shah Ali Banda (u/c),17.3507744,78.4723504,metro_station,,Hyderabad,,Hyderabad Metro Rail Limited
Falaknuma Terminal (u/c),17.3317141,78.4699981,metro_station,,,,Hyderabad Metro Rail Limited
Salar Jung Museum (u/c),17.3717823,78.4822609,metro_station,,,,Hyderabad Metro Rail Limited
Madavara,13.0574214,77.4728055,metro_station,,,,Bangalore Metro Rail Corporation Limited
Chikkabidarakallu,13.0523616,77.4879154,metro_station,,,,Bangalore Metro Rail Corporation Limited
Manjunathanagara,13.0500898,77.4944461,metro_station,,,,Bangalore Metro Rail Corporation Limited
Nagawara (Proposed),13.0422794,77.6248577,metro_station,,,,Bangalore Metro Rail Corporation Limited
Kirti Nagar (Green Line),28.6545409,77.1513605,metro_station,,,,Delhi Metro Rail Corporation Limited
Satguru Ramsingh Marg,28.6620531,77.1577026,metro_station,,,,Delhi Metro Rail Corporation Limited
Rohini West,28.7149569,77.115385,metro_station,,,,Delhi Metro Rail Corporation Limited
Belvedere Towers,28.4917023,77.0881318,metro_station,,,,Haryana Mass Rapid Transport Corporation Limited
DLF Phase 2,28.4875596,77.0929909,metro_station,,,,Haryana Mass Rapid Transport Corporation Limited
Sikanderpur RMRG Station,28.4809969,77.0944367,metro_station,,,,Haryana Mass Rapid Transport Corporation Limited
Kothrud,18.5038889,73.807673,metro_station,,,,
Begumpet,17.4375661,78.4569341,metro_station,,,,Hyderabad Metro Rail Limited
Moulsari Avenue Station,28.5007775,77.0946306,metro_station,,,,Haryana Mass Rapid Transport Corporation Limited
Phase 3 Station,28.4935677,77.093661,metro_station,,,,Haryana Mass Rapid Transport Corporation Limited
Dhansa Bus Stand,28.6119086,76.9785264,metro_station,,,,Delhi Metro Rail Corporation Limited
Hauz Khas (Magenta Line),28.5433691,77.2050447,metro_station,,,,Delhi Metro Rail Corporation Limited
Munirka,28.5568967,77.1750592,metro_station,,,,Delhi Metro Rail Corporation Limited
Sukhdev Vihar,28.5597477,77.2749004,metro_station,,,,Delhi Metro Rail Corporation Limited
Vasant Vihar,28.557827,77.1611168,metro_station,,,,Delhi Metro Rail Corporation Limited
Shankar Vihar,28.5608462,77.1402814,metro_station,,,,Delhi Metro Rail Corporation Limited
Sadar Bazar Cantonment,28.5771145,77.1111279,metro_station,,,,Delhi Metro Rail Corporation Limited
Palam,28.5889102,77.0830764,metro_station,,,,Delhi Metro Rail Corporation Limited
Dashrath Puri,28.60185,77.0823751,metro_station,,,,Delhi Metro Rail Corporation Limited
Janakpuri West,28.6289471,77.0779492,metro_station,,,,Delhi Metro Rail Corporation Limited
Okhla Bird Sanctuary,28.5529418,77.321595,metro_station,,,,Delhi Metro Rail Corporation Limited
Greater Kailash,28.5419077,77.2384925,metro_station,,,,Delhi Metro Rail Corporation Limited
Kalindi Kunj,28.542916,77.3101107,metro_station,,,,Delhi Metro Rail Corporation Limited
Kalkaji Mandir,28.5503522,77.2569441,metro_station,,,,Delhi Metro Rail Corporation Limited
Okhla Vihar,28.5613002,77.2919304,metro_station,,,,Delhi Metro Rail Corporation Limited
Panchsheel Park,28.5423747,77.2210916,metro_station,,,,Delhi Metro Rail Corporation Limited
