name,lat,lng,type,state,district
Ambattur Industrial Estate,13.0922855,80.1675492,park,,
Kotak Mahindra Bank;india,28.4808629,77.0848883,park,,
Alandur,12.9943729,80.1942837,park,,
Kanasar Bugyal,30.7799482,77.8330605,park,,
NESCO Park,12.505269,80.1564467,park,,
Arbetoreum,11.4002987,76.6932147,park,,
Natesan Park,13.0578678,80.1921416,park,,
Manju miya tabela playground,17.365234,78.4848029,park,,
Bird and Rabbit park,12.9770068,77.5969363,park,,
Express Garden,28.6388139,77.3675614,park,,
Chintu Park,30.3730773,75.541063,park,,
Van Vihar Manali (Gate 1),32.2424756,77.1893434,park,,
Park,12.9717795,80.1307463,park,,
City Park,30.3899674,74.0354237,park,,
Darshan Purwa Park,26.465483,80.314929,park,,
Central Park,26.46433,80.312741,park,,
Park,8.9328165,77.2741682,park,,
Picnic Hut,28.688928,77.1763849,park,,
Park,12.9293305,77.5483881,park,,
Gandhi Maidan,14.5152122,75.8086214,park,,
Dolphin Park,17.6711304,83.2828576,park,,
Park,13.012224,77.5755205,park,,
Municipal Park,17.3969183,78.4945424,park,,
Vivekanand Park (Sindi Park),28.6397522,77.1866567,park,,
Government Park,12.9706821,80.2149946,park,,
Park,29.3812996,79.4638563,park,,
MCC Water Tank Park,14.4563705,75.9116423,park,,
"BBMP Park, Swimming Pool Extension",13.000713,77.5757942,park,,
Park,28.6741954,77.3781238,park,,
Park,28.6758073,77.378274,park,,
Park,28.6768545,77.379658,park,,
Ramanjenaya Nagara Park,12.9117827,77.5468577,park,,
KDMC HOSP 2 Shastrinagar General Hospital Dombivli,19.2163997,73.0828414,park,Maharashtra,Thane
Gandhi Nagar park,15.3550145,75.0927544,park,,
Nehru Nagar Park,15.3517452,75.0971103,park,,
Panagal Park,13.0410311,80.2332635,park,,
luther,16.0450433,80.6731311,park,,
deer park,18.4131568,79.1322343,park,,
sanjeev park,17.361777,78.491824,park,,
Pulam Sumda,31.3063768,79.1307872,park,,
DDA Park,28.6361305,77.3013028,park,,
Bhagwan Birsa Mrig Vihar,23.1867145,85.2815951,park,,
HUDA Park,17.3237775,78.5693006,park,,
GHMC Park,17.3724796,78.5113174,park,,
Channa Ram Bansal Memorial Park,28.6722025,77.1312597,park,,
Traffic Training Park;East Punjabi Bagh,28.6721319,77.1385714,park,,
JaiDev Park,28.6709928,77.1505555,park,,
DTC Park,28.6510864,77.1574434,park,,
G Block Park,28.6519808,77.1608069,park,,
Rock Garden,28.6500978,77.1684565,park,,
Jogger's Park,28.6457808,77.1727642,park,,
Central Park,28.6453995,77.173542,park,,
Municipal Park,17.3747753,78.5125111,park,,
R Block Park,28.6362518,77.1789011,park,,
Haathi Park,28.6371416,77.1798452,park,,
Sita Park,28.6338082,77.1794321,park,,
SBH Colony Community Park,17.3459952,78.5480553,park,,
GHMC Park,17.3998479,78.5212016,park,,
Park,24.2020619,80.8067201,park,,
"Children's Park, Kadappakkada",8.8920697,76.6020549,park,,
S.D public school chhapa,30.5489727,75.6341561,park,,
Buddha Park,29.7562512,78.5250008,park,,
Hanging Bridge Park,9.0179514,76.9272286,park,,
Sandhu Patti Park,30.3812112,75.5498066,park,,
Infosys Cricket Ground,18.5975831,73.7092332,park,,
Kalyan Nagar Phase-1 Park,17.4434407,78.432796,park,,
Annamayya Park,16.3126457,80.4178922,park,,
police park,17.2327881,80.1452554,park,,
Lakaram Park/Tank Bund,17.2483255,80.1610136,park,,
park,17.497912,78.3843358,park,,
jagruthi colony park,17.4664516,78.3647693,park,,
jagruthi colony park 2,17.4665999,78.3639539,park,,
prathao nagar park,17.3720074,78.5336681,park,,
Jayanagar Colony Park,17.3585073,78.5177466,park,,
Indraprastha Township Park,17.3583055,78.5158846,park,,
Saraswathi Nagar Colony Park,17.3580184,78.5191857,park,,
press colony,17.3435054,78.5244871,park,,
sai ram nagar colony park,17.3431251,78.5236171,park,,
Friends Colony Badminton Park,17.3775427,78.5186982,park,,
west prashanth nagar park,17.3798135,78.5148255,park,,
"new life assembly of god church,mellinium garden",17.4473824,78.4954928,park,,
sri puri childrens colony park,17.458774,78.5010182,park,,
nehru nagar park,17.445137,78.5040451,park,,
railnilayam colony park,17.4402089,78.5104952,park,,
Madhuranagar D Park,17.4396037,78.4351299,park,,
Kanjerla Laxmi Narayan Yadav Park,17.4491548,78.4410307,park,,
ligh park,17.450789,78.4428546,park,,
esi children park,17.4467463,78.443195,park,,
swami vivekananda c type residence park,17.4470807,78.4438464,park,,
ligh park,17.4476106,78.4484401,park,,
Alam Thota Park,17.4421937,78.4634506,park,,
celebrity club park,17.4433487,78.4648412,park,,
local park,17.4270575,78.5441438,park,,
nagarjuna nagar park,17.424861,78.5418018,park,,
bapuji nagar park,17.4218643,78.546838,park,,
IICT children's park 2,17.4210381,78.545115,park,,
Googlys Children Park,17.4186353,78.5452387,park,,
Durga Estates Park,17.4975873,78.3398384,park,,
Pragathi Enclave Children Park,17.4983164,78.3565292,park,,
Park Area Pragathi Lay Out,17.4991605,78.3567474,park,,
"children park,perfect towers",17.4932388,78.3597945,park,,
goshamahal old quarters park,17.378402,78.4712243,park,,
children's Park,17.9883899,79.5292348,park,,
ghmc patk,17.3820061,78.4631802,park,,
shanti nagar park,17.4016441,78.4550419,park,,
park,17.4129971,78.4481588,park,,
ghmc park,17.4299016,78.4428358,park,,
park,17.4304216,78.4424111,park,,
mch park,17.4320942,78.4385866,park,,
sbi colony park,17.4315818,78.4349726,park,,
mch park,17.4293674,78.4199736,park,,
bamboo park,17.4304083,78.4106297,park,,
Park,17.4384396,78.4084144,park,,
Durgam Cheruvu Secret Lake Park,17.4311452,78.3920499,park,,
gayithri park,17.4536899,78.4002273,park,,
r k society park,17.4566786,78.4109138,park,,
park,17.453279,78.4226318,park,,
festival park kalyan nagar 3,17.4531515,78.4207287,park,,
Meenakshi Estates Park,17.509976,78.483146,park,,
Army Childrens park,17.4884883,78.5084377,park,,
rock park,17.4165262,78.3834287,park,,
Mahatma Gandhi Park,17.3884689,78.3699932,park,,
childrens park,17.3503764,78.4501795,park,,
jurrasic park,17.3471311,78.4488768,park,,
huda park,17.3334672,78.4417631,park,,
npa grounds,17.3274111,78.4381547,park,,
botanical&horticultural garden,17.3161305,78.423611,park,,
Herbal Garden,17.3122076,78.4206174,park,,
TTS PARK,18.7598105,79.476833,park,,
park 89th,18.7504088,79.4888498,park,,
Park,23.1233422,88.1939033,park,,
Moti Park,26.8875343,75.8109605,park,,
Savitri Park,26.8880625,75.8091472,park,,
Park,19.0671908,73.0657898,park,,
On way to  Binsar guest house,29.679259,79.7168025,park,,
Children's Traffic Park,21.1783608,72.8144049,park,,
Picnic Hut,28.6896603,77.1815909,park,,
Jayadev Batika,20.2648191,85.7808502,park,,
Honeymoon Point,24.5987144,72.6981499,park,,
Lake Nakki Overlook,24.597337,72.7035409,park,,
"Manas Mandir Kalyan Samiti, park",27.1815675,77.9762593,park,,
sarabong,20.8117174,82.4639324,park,,
"lanjimar,odisha",20.7993583,82.4602372,park,,
avenue-E block 3,21.1893023,81.3444337,park,,
Park,21.1899942,81.3339639,park,,
Sutiya Pat,21.7890608,81.0524999,park,,
bsp hss sec6,21.1987842,81.3460223,park,,
SMP Junction,10.7600913,76.2761191,park,,
NANA-NANI PARK,19.0698753,72.9120691,park,,
drd park,19.0430184,72.9115187,park,,
green park,18.9512251,72.8298996,park,,
kamagarh,20.823327,86.0838474,park,,
brahmanidevi yuoth club kamagarh,20.8245237,86.0810544,park,,
Mahatmagandhi park  Ganpur,20.2358319,85.4846677,park,,
Park,26.2812709,73.0153577,park,,
amar park,27.2295125,77.9115599,park,,
alka puri colony park,27.1868141,77.9812168,park,,
Park,12.9964249,77.7649169,park,,
Krazy Castle Amusement Park,21.1285258,79.0464959,park,,
Joggers Park,21.113901,79.0376166,park,,
NIT Garden,21.1177154,79.0363002,park,,
Buddha Murti Park,21.1114302,79.0239585,park,,
Phoolbagh,26.2112178,78.1697042,park,,
