name,lat,lng,type,state,district,operator
Petrol Pump,30.8740597,75.8586854,petrol_pump,,,
Petrol Pump,30.8804207,75.8473514,petrol_pump,,,
HKG,30.8842659,75.8079494,petrol_pump,,,
Petrol Bunk,13.6294533,79.4390308,petrol_pump,,,
Petrol Pump,18.9859,72.8427,petrol_pump,,,
Petrol Pump,30.8598353,75.8590925,petrol_pump,,,
Reliance,11.2575595,77.5511245,petrol_pump,,,
HP,13.0368733,80.2555597,petrol_pump,,,
IOC,13.037841,80.2562967,petrol_pump,,,
BP,13.0378885,80.2569506,petrol_pump,,,
Indian Oil,28.4892384,77.0909884,petrol_pump,,,
HP,8.5110238,76.9627206,petrol_pump,,,
Bharat Petrol,8.5076353,76.9621048,petrol_pump,,,
Bharat Petroleum,12.9943244,80.1870765,petrol_pump,,,ASM Abdul Cader Co
Bharat Petroleum,28.4324009,77.0478668,petrol_pump,,,
Indian Oil,28.4255168,77.0373704,petrol_pump,,,
Petrol Pump,28.4374888,77.0351409,petrol_pump,,,
Petrol Pump,28.465521,77.0557112,petrol_pump,,,
Petrol Pump,26.6645697,79.17156,petrol_pump,,,
Petrol Pump,26.7756191,79.0254762,petrol_pump,,,
Hindustan Petroleum,28.4767267,77.0664904,petrol_pump,,,
Petrol Pump,28.4649633,77.0375084,petrol_pump,,,
Petrol Pump,28.465152,77.0378775,petrol_pump,,,
Indian Oil,28.4672528,77.0371571,petrol_pump,,,Geeta Fuels
Karamsar Petrol Pump,30.7298205,75.9533439,petrol_pump,,,
Indian Oil,28.4946609,77.150715,petrol_pump,,,
Indian Oil,28.5043431,77.1719993,petrol_pump,,,
IBP Petrol Station,28.4554895,77.0285383,petrol_pump,,,
Petrol Pump,16.6940177,74.4591369,petrol_pump,,,
Panchshila Service Station,28.5614441,77.2227829,petrol_pump,,,
Indian Oil Corportation,28.6043612,77.3230956,petrol_pump,,,
Bharat Petroleum,28.6345574,77.3154765,petrol_pump,,,
Indian Oil,28.659564,77.3550818,petrol_pump,,,
Petrol Pump,28.6393343,77.4572027,petrol_pump,,,
Petrol Pump,28.5262252,77.1007834,petrol_pump,,,
Indian Oil,28.5336932,77.1070198,petrol_pump,,,
Indian Oil,28.6394831,77.4249813,petrol_pump,,,
Bharat Petroleum,28.6041804,77.3233182,petrol_pump,,,
Indian Oil Petrol Pump,28.6438531,77.3170505,petrol_pump,,,
Indian Oil,28.6552668,77.3472686,petrol_pump,,,Indian Oil
Indian Oil,28.6588641,77.3538527,petrol_pump,,,
Indian Oil,28.3818927,76.9672657,petrol_pump,,,
Petrol Pump Indian Oil,28.3926607,76.9783194,petrol_pump,,,
Petrol Pump Indian Oil,28.4098097,76.9929142,petrol_pump,,,
Petrol Pump IBP,28.4192219,76.997265,petrol_pump,,,
Magar Petrol Pump,18.5152532,73.9330133,petrol_pump,Maharashtra,,Bharat Petrolium
Indian Oil,28.5262695,77.1561648,petrol_pump,,,
Petrol Pump,11.3140656,76.9281174,petrol_pump,,,
Petrol Pump,11.3154224,76.9262103,petrol_pump,,,
Petrol Pump,11.3175143,76.9223626,petrol_pump,,,
Petrol Pump,11.4103509,76.7114165,petrol_pump,,,
Petrol Pump,11.4117612,76.7087327,petrol_pump,,,
Petrol Pump,11.4121827,76.7086785,petrol_pump,,,
Bharat Petroleum,11.3791939,76.7469386,petrol_pump,,,
Roshini Petrol Pump,18.539254,73.885693,petrol_pump,MH,,
World's Highest Altitude Retail Pump,32.227631,78.0699447,petrol_pump,,,Indian Oil
Hindustan Petroleum,31.1885747,76.5934108,petrol_pump,,,
Petrol Pump,25.2865765,83.1095897,petrol_pump,,,
Petrol Pump,25.3592282,82.9606497,petrol_pump,,,
Petrol Pump,11.66252,92.73259,petrol_pump,,,
Petrol Pump,11.6215,92.71779,petrol_pump,,,
Worliway Service Station,18.997908,72.817372,petrol_pump,,,BPCL
Petrol Pump,31.5384568,78.2737635,petrol_pump,,,
Powari petrol,31.5370799,78.2806199,petrol_pump,,,
Indian Oil,32.5454454,76.9742174,petrol_pump,,,
Indian Oil,34.1522812,77.5770345,petrol_pump,,,
Indian Oil,34.1170591,77.5888307,petrol_pump,,,Indian Oil
Petrol Pump,34.5415563,76.1509754,petrol_pump,,,
HP,13.0391669,80.2573351,petrol_pump,,,
HP,13.0402403,80.2468562,petrol_pump,,,
Petrol Pump,13.0493343,80.25305,petrol_pump,,,
Petrol Pump,13.0851617,80.2835544,petrol_pump,,,
Petrol Pump,13.0862218,80.2812471,petrol_pump,,,
Bharat Petroleum,12.9365895,77.5804447,petrol_pump,,,Bharat Petroleum
HP,12.9796614,80.218483,petrol_pump,,,
Petrol Pump,28.6367525,77.4430498,petrol_pump,,,
Petrol Pump,28.6414546,77.4531747,petrol_pump,,,
Petrol Pump,30.3277581,75.8445136,petrol_pump,,,BP
Petrol Pump,30.3830426,75.8730116,petrol_pump,,,
Indian Oil,30.5290986,75.8882206,petrol_pump,,,Indian Oil
Petrol Pump,10.8315778,77.0171821,petrol_pump,,,
Petrol Pump,10.692375,77.0098922,petrol_pump,,,
Petrol Pump,10.6658972,77.0074044,petrol_pump,,,
Petrol Pump,10.6474299,77.0075962,petrol_pump,,,
Petrol Pump,10.6432732,77.007365,petrol_pump,,,
Petrol Pump,10.5517163,77.0009073,petrol_pump,,,
Petrol Pump,10.6687432,77.0075685,petrol_pump,,,
Petrol Pump,10.7801302,77.0150856,petrol_pump,,,
Petrol Pump,10.5004145,76.9888741,petrol_pump,,,
Indian Oil,11.0676625,77.0998701,petrol_pump,,,
Bharat Petroleum,11.0740038,77.10848,petrol_pump,,,Elango Service Station
HP,11.0813425,77.1213385,petrol_pump,,,Aim One Agencies
Petrol Pump,11.0223257,77.0002779,petrol_pump,,,
Petrol Pump,11.0219188,76.998212,petrol_pump,,,
Hindusthan Petroleum,11.0784089,76.9418801,petrol_pump,,,
ARC Bharat Petroleum,11.0275851,76.9514438,petrol_pump,tamilnadu,coimbatore,
HP,13.0311284,80.2394414,petrol_pump,,,
Petrol Pump,13.0337218,80.2382988,petrol_pump,,,
Petrol Pump,13.0459529,80.2562406,petrol_pump,,,
Petrol Pump,13.0260196,80.2661174,petrol_pump,,,
Bharat Petroleum,12.9356671,77.6144578,petrol_pump,,,
HP,17.4080669,78.4697587,petrol_pump,,,Telangana Civil Supplies
Satwant,31.1921215,75.7735516,petrol_pump,,,IBP
P Pump,31.116591,75.7760201,petrol_pump,,,
P Pump,31.1391976,75.7748858,petrol_pump,,,
P Pump,31.0584601,75.7817958,petrol_pump,,,
P Pump,30.9490476,75.8270449,petrol_pump,,,
Petrol Pump,8.8242959,76.677072,petrol_pump,,,
Shanthi Petrol Station,12.9935494,80.1850866,petrol_pump,,,
Petrol Pump,30.1041219,77.3099885,petrol_pump,,,
Petrol Pump,29.9990959,77.0695222,petrol_pump,,,
HP,28.5737882,77.2089741,petrol_pump,,,
Petrol Pump,28.47291,76.9592671,petrol_pump,,,
Petrol Pump,28.472546,76.9391982,petrol_pump,,,
HP,13.0534169,80.252032,petrol_pump,,,
Petrol Pump,13.0540764,80.2530457,petrol_pump,,,
Essar,12.5508401,80.1424203,petrol_pump,,,
HP,13.0427775,80.2677547,petrol_pump,,,
Petrol Pump,29.0256731,77.0707359,petrol_pump,,,
HP,13.0184727,80.2614032,petrol_pump,,,
Petrol Pump,30.9412387,75.8345718,petrol_pump,,,HP
Indian Oil,13.0421221,80.2684202,petrol_pump,,,Indian Oil Corporation Ltd
Indian Oil,11.2164596,77.0850864,petrol_pump,,,Indian Oil
Indian Oil,11.1273864,77.0303319,petrol_pump,,,Indian Oil
HP,11.08003,77.0042231,petrol_pump,,,Hindustan Petroleum
Indian Oil,11.039519,76.9805839,petrol_pump,,,Indian Oil
HP,11.0153511,76.9676319,petrol_pump,,,Hindustan Petroleum
BP,11.012646,76.9673432,petrol_pump,,,Bharat Petroleum
Bharat Petrol Pump,17.4272158,78.5310796,petrol_pump,,,
Tarnaka Agencies Petrol Pump,17.4267938,78.5314488,petrol_pump,,,
Petrol Pump,17.4271001,78.5303137,petrol_pump,,,
Indian Oil,12.0143543,79.8583103,petrol_pump,,,Indian Oil
Bharat Petroleum,12.026085,79.8617063,petrol_pump,,,Bharat Petroleum
Indian Oil Petrol Pump,12.183598,79.9395673,petrol_pump,,,Indian Oil
Indian Oil Petrol Pump,12.6379872,80.1984054,petrol_pump,,,Indian Oil
Indian Oil,12.9097046,80.2503011,petrol_pump,,,Indian Oil
Petrol Pump,34.0665475,74.4426337,petrol_pump,,,
Indian Oil,34.0957756,74.5999474,petrol_pump,,,
Narbal Fuel Filling Station,34.1206935,74.6836443,petrol_pump,,Srinagar,HP
Indian Oil Petrol Pump,34.1091198,74.7467304,petrol_pump,,,
