name,lat,lng,type,state,district,phone
Police Station Sahnewal,30.8352537,75.9745287,police_station,,,
Thudiyalur Police Station,11.0820675,76.9412411,police_station,,,
Mambalam Police Station,13.0349573,80.22946,police_station,,,
Royapettah PS,13.0520106,80.2637348,police_station,,,
Nungambakkam F3 police station,13.0596173,80.2427681,police_station,,,
Police Station,26.6615399,79.1742208,police_station,,,
Police Station,18.5075612,73.9173998,police_station,,,
Hebbagodi Police Station,12.8263652,77.6820851,police_station,,,
Police station Shimla puri,30.8887587,75.8614661,police_station,,,
"Commissioner Of Police,  Residence",30.9155653,75.8384698,police_station,,,
Police Station,25.2719364,83.1453826,police_station,,,
Chatham Police Station,11.6830489,92.7236991,police_station,,South Andaman,
Police Station,25.3566904,82.9550377,police_station,,,
DCP Bangalore North Traffic Police,13.0181973,77.5581675,police_station,,,
Road closed,32.8698242,75.8617488,police_station,,,
Police Station,32.6743509,77.2006462,police_station,,,
S-8 Adambakkam Police Station,12.9893957,80.2019683,police_station,,,
Teynampet E3 PS,13.048651,80.2494881,police_station,,,
Jayanagar 4th Block Police Station,12.9285653,77.5813657,police_station,,,
Police Station,10.6571159,77.0083512,police_station,,,
Police Station,10.6565729,77.0184714,police_station,,,
Police Station,28.5779649,77.3375263,police_station,,,
"Police Station, Museum",8.5093212,76.9567814,police_station,,,
Adyar J2,12.997814,80.2557176,police_station,,,
Police Station,12.9814685,80.192063,police_station,,,
Central Station PS,13.0818276,80.2755071,police_station,,,
Chennai Central RPF,13.0830613,80.2732996,police_station,,,
Osmania University Police Station,17.4215275,78.5259566,police_station,,,
Police Station Sadar,28.4291623,77.0375117,police_station,,,
Sadar Police Station,28.4640597,77.0360665,police_station,,,
Sushant Lok Police Station,28.462993,77.0728175,police_station,,,
Sector 18 Police Station,28.4863642,77.0660949,police_station,,,
RTO Check Post,8.3307076,77.1742787,police_station,,,
Tax Check Post,8.3242251,77.1817641,police_station,,,
B1 Saint Thomas Mount PS,12.9991212,80.200262,police_station,,,
Khar Police Station,19.064037,72.8371137,police_station,,,
Madhapur Police Station,17.4398726,78.3960744,police_station,,,
Kalpakkam Police Station,12.5037687,80.1533696,police_station,,,
Dharapuram Police Station,10.7312269,77.5240154,police_station,,,
Sadras Police Station,12.5251654,80.1626667,police_station,,,
SR Nagar Police Station,17.4414291,78.4478427,police_station,,,
Koyambedu Police Station,13.0696407,80.2004587,police_station,,,
E1 Police Station,11.412076,76.6884781,police_station,,,
"Office, Police Commissioner",13.0100865,80.1990931,police_station,,,
T15 SRMC PS,13.0341993,80.1602489,police_station,,,
KK Nagar PS,13.0415108,80.2054415,police_station,,,
N4 PS,13.1345408,80.2974596,police_station,,,
Police Station,30.8882847,75.8046347,police_station,,,
Vigilance and Security Office,13.6799238,79.3508215,police_station,,,
Virugambakkam Police Station,13.0491123,80.1992562,police_station,,,
Police Station,13.03694,80.2674177,police_station,,,
Cubbon Park Police Station,12.9762399,77.5983458,police_station,,,
Maleshwaram Police station,12.9966811,77.5696708,police_station,,,
Division No. 6,30.8939791,75.8713574,police_station,,,
DSP Industrial Area,30.8855823,75.8872704,police_station,,,
Police Post Sherpur,30.8853981,75.8874764,police_station,,,
Hazratganj Police Station,26.8471889,80.9460958,police_station,,,
Police Station,30.48908,78.04183,police_station,,,
Electronics City Police Station,12.839963,77.6631389,police_station,,,+918022943469
Model Town,30.8884442,75.8403959,police_station,,,
"Police Station, Karamana",8.4808658,76.9686113,police_station,,,
