name,lat,lng,type,state,district
Post Office,30.8896149,75.8422152,post_office,,
IIMB post office - Bilekahalli,12.8980535,77.6008383,post_office,,
Alwarpet,13.039407,80.2573785,post_office,,
Koramangala 3rd Block,12.9271867,77.6266252,post_office,,
Nungambakkam,13.0605534,80.2430157,post_office,,
Post Office,28.473621,77.0479624,post_office,,
Post Office,28.473206,77.0480053,post_office,,
Post Office,26.6618467,79.1723325,post_office,,
Post Office,28.4620809,77.0315003,post_office,,
B-Zone Post Office,23.5688077,87.3179349,post_office,,
Post Office,25.3356089,82.9825623,post_office,,
Post Office,11.66583,92.74135,post_office,,
Aberdeen Bazar Post Office,11.67188,92.74585,post_office,,
Anna Nagar post office,13.0846666,80.2075642,post_office,,
IISc Post Office,13.0139623,77.5665181,post_office,,
Teynampet West,13.0474874,80.2485425,post_office,,
Teynampet South,13.0397372,80.2473014,post_office,,
Post Office,13.0314918,80.2591738,post_office,,
Eldams Road Post Office,13.0380671,80.2528387,post_office,,
Jayanagar 3rd Block PO,12.9303756,77.583314,post_office,,
Electronics City Post Office,12.8398359,77.6630046,post_office,,
Post Office,13.0874773,80.2769884,post_office,,
Domlur Post office,12.9608935,77.6359498,post_office,,
Post Office,12.9805594,80.1904075,post_office,,
Post Office,12.9631622,80.1987969,post_office,,
Post Office,12.9890986,80.1876904,post_office,,
post office,17.4202457,78.5255931,post_office,,
India Post - Sri Aurobindo Ashram,11.9363203,79.8346071,post_office,,
Head Post Office Amrisar,31.6377424,74.866476,post_office,,
Head Post Office,11.0106209,76.950568,post_office,,
Kulgaon Postoffice,19.1634091,73.2398525,post_office,,
Saligram Post office,13.055399,80.2040134,post_office,,
Cyberabad Post Office,17.4416163,78.3910575,post_office,,
Post Office,26.9137522,70.9081213,post_office,,
Post Office,12.5041911,80.1554845,post_office,,
Central Post Office,26.28605,73.0230635,post_office,,
South City II Post Office,28.416425,77.0436967,post_office,,
Main Post Office,24.5915574,73.6904241,post_office,,
St Johns Post Office,12.9298186,77.6214543,post_office,,
Jayanagar 4th Block Post Office,12.9238628,77.5860466,post_office,,
Post Office,12.9224908,77.576528,post_office,,
Tirumala Post and Telegraph Office,13.6777919,79.3504113,post_office,,
Raja Annamalai Puram Post Office,13.0261502,80.2656369,post_office,,
Mundiappally PO,9.4244651,76.6192635,post_office,,
Malabar Hill Post Office,18.9554449,72.804561,post_office,,
Greams Road,13.0594542,80.2547402,post_office,,
New Yogakshema,18.9296681,72.8233549,post_office,,
Tallakulam Head Post Office,9.9316574,78.1322291,post_office,,
Jalahalli Post Office,13.0508316,77.5531101,post_office,,
Rayavaram Post Office,10.2492111,78.8095697,post_office,,
Edayur North Post Office,10.9209056,76.0978932,post_office,,
Yol Post Office,32.1729905,76.3857581,post_office,,
Central Post GPO,26.917309,75.8035385,post_office,,
Tripolia Bazar Sub Post Office,26.92336,75.82549,post_office,,
Rabindranath Tagore Nagar,13.0216684,77.5928265,post_office,,
"Head Post Office, Sundernagar",31.5325888,76.9055257,post_office,,
"Sub Post Office, Purana Sundernagar",31.5344517,76.9010862,post_office,,
"Post Office, Muttada",8.5346737,76.9485442,post_office,,
Kalbadevi Post Office 400002,18.9450359,72.8284002,post_office,,
Uggi,31.2128001,75.4314337,post_office,,
Tattapani Post Office,31.2474102,77.0889655,post_office,,
Shree Chowdeshwari Post Office,13.0326654,77.5537972,post_office,,
Post Office,19.9979128,73.7847837,post_office,,
Bazaar Gate Post Office,18.9346708,72.8349898,post_office,,
"Head Post Office, Thanjavur",10.7786454,79.1408707,post_office,,
Pune General Post Office,18.5229317,73.8756503,post_office,,
Rakkar Post Office,32.2004399,76.3686101,post_office,,
NSP Camp,17.2561468,80.1504446,post_office,,
Sec-56 Post Office,28.4226886,77.1031772,post_office,,
Madhavbaug PO,18.9541461,72.827395,post_office,,
"Sub Post Office, Chadhi",32.2055545,76.2587972,post_office,,
Perundurai Post Office,11.2784734,77.5851753,post_office,,
Church Rd,17.2378339,80.1451895,post_office,,
Puliyarakonam Post Office,8.5384811,77.0223486,post_office,,
Sub Post Office Hadsar,32.4561635,76.6097866,post_office,,
Post Office Manali,32.2437986,77.1883245,post_office,,
Ernakulam Head Post Office,9.9719327,76.2823323,post_office,,
Post Office,11.0052257,76.9750386,post_office,,
Sub Post Office Udaipur,32.7262523,76.6628555,post_office,,
Sub Post Office Jahlmah,32.6351918,76.8654208,post_office,,
Post Office Lote,32.6024129,76.9376476,post_office,,
Post Office Bhuana,32.010067,76.5937105,post_office,,
Mandvi Post Office,18.9568053,72.8322731,post_office,,
Null Bazaar Post Office,18.9614163,72.8307064,post_office,,
Sub Post Office,17.2428293,80.1438605,post_office,,
Baner Post Office,18.5699952,73.7663802,post_office,,
Shimlapuri Post Office,30.8657718,75.8640522,post_office,,
"Daba Road, Ludhiana (141014)",30.8695318,75.8838654,post_office,,
Post Office,28.5357637,77.2809165,post_office,,
Girinagara Post Office,12.9407969,77.5454937,post_office,,
Post Office,12.9321449,77.5417724,post_office,,
Palackattumala Post Office,9.7348796,76.634753,post_office,,
"Post Office, Marangattupilly",9.7427287,76.6113077,post_office,,
