name,lat,lng,type,state,district
Vidyarambh Play School,12.913892,77.6770532,preschool,,
Srujan Play Home,13.0604817,77.6251237,preschool,,
Vinus Play Home and Day Care,13.0250166,77.6435019,preschool,,
Orkids,13.0233653,77.636232,preschool,,
Little Elly,13.0238997,77.6349809,preschool,,
Smiley Kids,13.0242154,77.6356384,preschool,,
Shemrock Bright,13.0224361,77.6308334,preschool,,
Small World,13.0196337,77.6342441,preschool,,
Orchid Academy,13.017623,77.6341168,preschool,,
Masti ki Pathshala (Teach India),28.5158272,77.0453164,preschool,,
Adarsh Pre School,31.5356215,76.8980328,preschool,,
Kara4Kids,13.0016562,77.596687,preschool,,
Harvest Tender Roots,17.2541555,80.1593708,preschool,,
mominan anganwadi,17.2443434,80.1483127,preschool,,
Holymoon,17.2502555,80.1456498,preschool,,
RR Disney,17.2638295,80.1429513,preschool,,
Daffodils Play School,11.0407408,76.9821129,preschool,,
Preschool,17.4647297,78.3656126,preschool,,
Preschool,17.4392089,78.3616271,preschool,,
Apple Kids,12.9838028,77.7489996,preschool,,
Sanskar,18.4729716,73.8149253,preschool,,
Apple Kids,12.922219,80.1984015,preschool,,
Manas Microsystems Pvt. Ltd.,18.6278783,73.8369404,preschool,,
Little Feet,19.1103536,72.8522706,preschool,,
Preschool,17.4946996,78.3639995,preschool,,
UPS Thirumala,8.5064144,76.9994904,preschool,,
Klay Day Care,12.9831083,77.707991,preschool,,
Bhegas Kinder Garden,17.4529037,78.5287131,preschool,,
Viha,12.9687203,77.7446763,preschool,,
Kidzee Play school,12.9272988,77.6375732,preschool,,
Preschool,12.9286689,77.6354869,preschool,,
New Presidency School,13.1302265,78.1143633,preschool,,
Anganawadi,13.1472717,77.3344365,preschool,,
Blossom Prenursery,13.004565,77.549383,preschool,,
St. Joseph's Womens' College,9.4985211,76.3290518,preschool,,
amrita Technologies,10.0337894,76.2919651,preschool,,
Amrita School Of Nursing,10.0320885,76.2903665,preschool,,
Anubhav Play school,12.9370761,77.6204976,preschool,,
Vanita Vidyalaya,15.8604224,74.5074009,preschool,,
Maple Bear Canadian Pre-School,12.9724603,77.7506679,preschool,,
Joy Of Learning,12.911762,77.637224,preschool,,
Aloha Kinderstart,13.0139207,80.181246,preschool,,
Nursery,10.8668889,72.1959914,preschool,,
Preschool,28.6023098,77.0450914,preschool,,
The Hope Project,28.5903058,77.2419,preschool,,
Floretz Montessori,12.9088046,77.6497344,preschool,,
Bal Vidya Mandir,17.0460183,75.213895,preschool,,
Euro Kids,12.2864669,76.6284274,preschool,,
"LPS, Thiruvallam",8.4411374,76.9573759,preschool,,
Little Elly,12.9270725,77.6690293,preschool,,
Daffodil Pre School,12.9742243,77.7466743,preschool,,
Sneha Kiran,12.9970813,75.3360636,preschool,,
Your Kids Are Our Kids,12.8483294,77.6625545,preschool,,
TreeHouse,18.9174556,72.8265135,preschool,,
Jumbo Kids,12.9156658,77.5902764,preschool,,
Podar Happy Kids,12.915569,77.5902817,preschool,,
Shristi Montessari,12.9170174,77.6723225,preschool,,
Pearls Nursery,12.9708076,80.2184332,preschool,,
Preschool,28.6178334,76.9843272,preschool,,
MAP,26.2288262,81.2482871,preschool,,
Shemrock Happy Hearts,13.001038,77.6623051,preschool,,
Samaj Mandir,18.4701962,73.8559466,preschool,,
Samaj Mandir,18.4705862,73.8558528,preschool,,
Kids R Us,13.0280878,80.1325689,preschool,,
Euro Kids,12.892272,77.6104915,preschool,,
Little Millenium,12.8926145,77.6107222,preschool,,
Rayen Kids,12.8927015,77.6192826,preschool,,
Amma Nursery,8.4915902,76.9316091,preschool,,
St.Anne's Kindergarten,8.1542425,77.4230695,preschool,,
Serra PreSchool,12.9726902,77.6389158,preschool,,
Urs Child Hut,30.8375803,76.1903385,preschool,,
Kids at Play DayCare Center,13.0223009,80.173833,preschool,,
apple kids,12.3328074,75.1088476,preschool,,
Edify Kids,12.8836176,77.5821892,preschool,,
Aura Montessori House of Children,12.8896231,77.5823913,preschool,,
Kindergarten School,9.1853974,78.020072,preschool,,
Preschool,8.9042786,77.3604843,preschool,,
Podar Jumbo Kids,12.94432,80.2396488,preschool,,
Euro Kids,12.9352086,80.231659,preschool,,
Kidzee,12.9627123,80.2421107,preschool,,
Atam Nursery School,30.8865416,75.8510876,preschool,,
Glendale Edufun,17.4294359,78.4567918,preschool,,
Preschool,12.2890375,76.6294424,preschool,,
Euro Kids,12.885152,77.595731,preschool,,
Preschool,8.3715738,77.9488512,preschool,,
SP Memorial Primary School,25.46388,81.863747,preschool,,
Alamelu Mangai thayarammal Montessori School,13.0752066,80.272253,preschool,,
Euro Kids,15.3495129,75.1042302,preschool,,
Kindergarden,12.0033413,79.8086751,preschool,,
Kids Meadows,28.5561109,77.0571541,preschool,,
"Anganwadi, Rampatna",12.33183,76.322917,preschool,,
Anganwadi,12.304025,76.269202,preschool,,
Anganwadi Channasoge,12.28215,76.260803,preschool,,
Anganwadi Biranahalli Kavalu,12.253278,76.239529,preschool,,
Anganwadi Biranahalli,12.246415,76.237733,preschool,,
Anganwadi Hoskote,12.277801,76.243993,preschool,,
Anganwadi Kodluru,12.25888,76.250928,preschool,,
Anganwadi Bijapura kalony,12.28579,76.196145,preschool,,
Anganwadi Nagamangala,12.322907,76.210496,preschool,,
Anganwadi Mutturayanahahosahalli,12.3081269,76.1889959,preschool,,
Anganwadi Hunasegala,12.3025569,76.219556,preschool,,
Anganwadi Adiganahalli,12.30554,76.230518,preschool,,
Anganwadi Kallahalli,12.316586,76.219495,preschool,,
Anganwadi Attiguppe,12.330483,76.206876,preschool,,
Anganwadi Kallabettakaloni,12.341396,76.205632,preschool,,
Anganwadi Chilkunda,12.33713,76.187378,preschool,,
Anganwadi Habbanakuppe,12.3598789,76.188078,preschool,,
Anganwadi Hosakoppalu,12.350766,76.189839,preschool,,
Anganwadi Harinahalli,12.304222,76.180352,preschool,,
Anganwadi Kalkada,12.29193,76.178838,preschool,,
Anganwadi Kanagal,12.314413,76.175304,preschool,,
Anganwadi Vadlimanuganahalli,12.3093629,76.161273,preschool,,
Anganwadi Devarajakaloni,12.284829,76.174012,preschool,,
Anganwadi Hemmige Hardy,12.2670449,76.180392,preschool,,
Anganwadi Hemmige,12.275763,76.179032,preschool,,
Anganwadi Hemmigekaloni,12.280519,76.17419,preschool,,
Anganwadi Karnakuppe,12.2915549,76.160948,preschool,,
Anganwadi Biratammanahallikloni,12.2754279,76.157846,preschool,,
Anganwadi Biratammanahalli,12.265669,76.148719,preschool,,
Anganwadi Kademanuganakalli,12.258259,76.139795,preschool,,
Anganwadi Thundhebbala,12.245194,76.135568,preschool,,
Anganwadi Hebbala,12.242041,76.133992,preschool,,
Anganwadi Kalabuchanahalli,12.2279789,76.127235,preschool,,
Anganwadi Neralakuppe,12.219572,76.135878,preschool,,
Anganwadi Neralakuppe,12.220156,76.136319,preschool,,
Anganwadi Kachuvinahalli,12.220821,76.146419,preschool,,
Anganwadi Shettahalli,12.221485,76.164279,preschool,,
"Anganwadi B,AR,Kawal",12.2488049,76.161453,preschool,,
Rayen Kids,12.8999647,77.6214378,preschool,,
Anganwadi Boovekaloni,12.248915,76.143515,preschool,,
Anganwadi Ballenahosahalli,12.19661,76.138962,preschool,,
Anganwadi Sindenahalli,12.2074963,76.176612,preschool,,
Anganwadi Negatturu,12.208358,76.163779,preschool,,
Anganwadi Abburu,12.218837,76.179814,preschool,,
"Anganwadi, Hagaranahalli",12.357333,76.36671,preschool,,
Anganwadi (3 ) Kattemalalawadi,12.354427,76.290158,preschool,,
Anganwadi Kattemalalawadi,12.349245,76.289898,preschool,,
Anganwadi (1 ) Kattemalalawadi,12.353359,76.28805,preschool,,
Anganwadi (5) Kattemalalawadi,12.356413,76.290582,preschool,,
Anganwadi Kattemalalawadi Koppalu,12.347993,76.308873,preschool,,
Preschool,14.4454309,75.9000352,preschool,,
Anganawadi,16.5364101,77.0420389,preschool,,
Anganwadi Chinthanhalli Thanda,16.8081335,77.3112933,preschool,,
Anganwadi Kandakoor,16.7771208,77.3284507,preschool,,
EuroKids Manapakkam,13.0141464,80.1727814,preschool,,
Anganawadi,16.7773143,77.1832951,preschool,,
Tree House Play School,19.176005,72.8730118,preschool,,
Anganawadi,12.2364022,76.1875044,preschool,,
Anganwadi,16.7756181,77.395581,preschool,,
Anganwadi 2,16.7353619,77.3815357,preschool,,
"Anganwadi, Konkal",16.7358033,77.380144,preschool,,
Anganwadi,16.7169949,77.3937713,preschool,,
Anganwadi,16.6908678,77.3844058,preschool,,
"Anganwadi, Karemuddenhalli",12.2033378,76.3791221,preschool,,
"Anganwadi, Thammadhalli",12.3293678,76.2567009,preschool,,
"Anganwadi,Naganhalli",12.3321661,76.2632378,preschool,,
Anganawadi,12.342586,76.2629392,preschool,,
"Anganawadi, Yashodarapura",12.3112398,76.2531201,preschool,,
"Anganawadi, Sannena halli",12.3499492,76.2586483,preschool,,
Anganwadi 2,13.9887144,76.1747535,preschool,,
Anganwadi_1,13.990514,76.1763018,preschool,,
Anganawadi,12.223127,76.411277,preschool,,
Anganwadi,12.2178244,76.4095525,preschool,,
Anganwadi,12.2230925,76.4123619,preschool,,
Anganawadi,12.1890804,76.4151234,preschool,,
Anganawadi,12.1980695,76.4336471,preschool,,
Anganawadi,12.3816501,76.4573831,preschool,,
Anganwadi,12.3800129,76.4638617,preschool,,
Anganwadi,12.256421,76.418054,preschool,,
Anganwadi,12.258312,76.42823,preschool,,
Anganwadi,12.265033,76.397069,preschool,,
Anganwadi,12.27654,76.414659,preschool,,
Anganwadi,12.279698,76.388794,preschool,,
Anganwadi,12.283649,76.392637,preschool,,
Anganwadi,12.285499,76.423587,preschool,,
Anganwadi,12.308672,76.448039,preschool,,
