name,lat,lng,type,state,district
BCM School,30.8888319,75.8326955,school,,
D.P.S. (Deshmesh public school) Sreenh,30.7884443,75.8619517,school,,
Baba Mukand Singh Sr. Sec. School,30.8689566,75.8829705,school,,
Baba Isher Singh Public School,30.8875806,75.8173479,school,,
High School Dharour,30.8315985,75.9550323,school,,
Primary School Dharour,30.831714,75.9556724,school,,
Classic,19.0835527,72.8384747,school,,
Home for mental deficient childern,19.0436727,72.9256871,school,,
School,12.8772119,77.6025994,school,,
Shishu Shikhsha Mandir School,31.5276352,75.9004881,school,,
Govt. College,31.5272913,75.9016211,school,,
Angel Heart Montessori Play School,12.9187503,77.6518327,school,,
Heritage International School,28.5084497,77.166546,school,,
Deep Public School,28.5117155,77.1634819,school,,
School,28.4896385,77.1384019,school,,
Bijra High School,23.5816947,87.3479767,school,,
Breeks All India Secondary School,11.4124436,76.7014757,school,,
Lawrence School,11.3790267,76.7009414,school,,
Nazareth Convent,11.4070228,76.6942109,school,,
St. Aloysius School,12.8743451,74.845393,school,,
Bharatiya vidya bhavan school,11.2583,75.83145,school,,
Pantheerankave High School,11.22733,75.84853,school,,
Nellikode school,11.2622082,75.8198993,school,,
HILL TOP school,11.2545667,75.7950993,school,,
Farook High School,11.1981351,75.8542269,school,,
Kingsbury Nursery School,11.4152621,76.7076641,school,,
New Prince Higher Secondary,12.9853147,80.2029459,school,,
St. Marks School,12.9868373,80.206505,school,,
Govt. High School,30.3393471,75.8490037,school,,
GNP School,30.8887179,75.8284447,school,,
GNP School,30.890876,75.8182652,school,,
"Govt. school, cotton hill",8.502136,76.9622198,school,,
DPS School,31.2693756,75.7009999,school,,
St Joseph's Convent School Jalandhar Cantt,31.308375,75.599961,school,,
Brilliant Matriculation School,12.9704142,80.186583,school,,
Mowbray's Matriculation Higher Secondary School,12.985101,80.1894583,school,,
"Delhi Public School, Primary Section",28.4295352,77.0525305,school,,
CR Model Public School,28.4463106,77.0458728,school,,
United Physically Handicapped School,11.1047421,77.0242479,school,,
Vimal Jothi Convent School,11.090002,77.0090525,school,,
Shri Sakthi Vidyalaya,12.8861992,80.2460833,school,,
Corporation Boys High School,11.0049837,76.9474178,school,,
Corporaton School for Deaf,11.0056048,76.9494051,school,,
SRP Ponnuswamy Chettiar Sundrammal Vidhyalaya Matric School,11.0131455,76.9468444,school,,
Vidya Vriksha Play School,11.0106805,76.9486042,school,,
Bishop Ubagarm's Primary School,11.0130484,76.942949,school,,
Kattur Municipal Elementary School,11.0077787,76.9641166,school,,
Salvan Public School,28.4636101,77.0465147,school,,
Stanes Higher Secondary School,11.0063593,76.9724885,school,,
Oak Grove School,30.4239911,78.0853374,school,,
St Peters School,17.9214501,73.7924199,school,,
Bhartiya Vidyapeeth School,17.9214501,73.8116499,school,,
Gods Valley School,17.9200801,73.8104591,school,,
Fidai Academy,17.9214501,73.79654,school,,
Kikani Higher Secondary School,11.0115779,76.9579425,school,,
Coporation Girls Higher Secondary School,11.0137003,76.9608378,school,,
Corporation Elementary School,11.0136837,76.9616315,school,,
RS Puram Corporation Girls High School,11.0102989,76.9469568,school,,
Apostolic Carmel Convent (Girl's School),19.0550042,72.8262102,school,,
Balalok Matriculation Higher Secondary School,13.0542557,80.1943992,school,,
JaiGopal Garodia Girls High school,13.0530994,80.1967081,school,,
Atomic Energy Central School - I,12.496465,80.1597172,school,,
Kendriya Vidyalaya I,12.4985712,80.15992,school,,
Kendriya Vidhyalaya School,11.0254394,77.1609298,school,,
Sindhu Matriculation Higher Secondary School,10.7471261,77.5182993,school,,
Annafathima Matriculation Higher Secondary School,10.6693649,77.5446029,school,,
BCM Senior Secondary School,30.8922677,75.907899,school,,
School,13.5447945,79.5324484,school,,
School,13.6028312,79.609715,school,,
New Era School,11.4155795,76.7038858,school,,
Swamy Vivekananda Primary and High School,13.0483112,77.6342169,school,,
Cliff School,11.40905,76.6921253,school,,
St. Joseph's School,11.4095823,76.6943961,school,,
Cliff School annexe,11.4079645,76.6881783,school,,
Golden Chariot Public School,13.0989262,77.6350463,school,,
Manasa Public School,13.0557708,77.6327504,school,,
School for the deaf,11.41603,76.7100466,school,,
Olcott Memorial HSS,13.0034528,80.2677285,school,,
United Public School,13.0384174,77.6387738,school,,
Mayanad Aided Upper Primary School,11.2826042,75.8510638,school,,
"St. Xavier's High School, Loyola Hall",23.047875,72.5490839,school,,
Mt. Carmel School,23.0351192,72.568061,school,,
Navrang School,23.0483604,72.556364,school,,
"DPS - Delhi Public School, Bopal",23.0419569,72.4575053,school,,
A. G. Teachers High School,23.0403655,72.5484846,school,,
"Mount Carmel School, Khanpur",23.0329288,72.5766297,school,,
Silver Hills Higher Secondary School,11.2945982,75.8134625,school,,
L.B.S. School,13.0519542,77.6885541,school,,
Army Public School,30.5617261,77.2825109,school,,
Yuvalok School,13.0371969,77.6427683,school,,
Sinclairs High School,13.0317498,77.6437784,school,,
New Senior Secondary School,30.8926694,75.820766,school,,
Govt. senior Model School,30.8925567,75.8716447,school,,
LaClarence Matriculation Higher Secondary Schoolt,13.0542712,80.2036334,school,,
Thai Sathia School,13.0438348,80.1981602,school,,
Sacred Hearts Girls School,12.9694218,77.6033897,school,,
Mysore West Lions Sevanikethan School,12.3341765,76.6299279,school,,
