name,lat,lng,type,state,district,code
Vasai Road,19.3826676,72.8320245,train_station,,,BSR
Naigaon,19.3510925,72.8465229,train_station,,,NIG
Bhayandar,19.3101847,72.8526988,train_station,,,BYR
Kharbhav,19.298321,72.9844677,train_station,,,KHBV
Ranjangaon Road,18.8781663,74.6067124,train_station,,,RNJD
Vapi,20.3735482,72.9084376,train_station,,,VAPI
Palghar,19.6978882,72.7718888,train_station,,,PLG
Attari,31.5945497,74.6066213,train_station,,,ATT
Doraha,30.8038523,76.0436763,train_station,,,DOA
Bhivandi Road,19.2688735,73.0463121,train_station,,,BIRD
Dahisar,19.2493572,72.8596302,train_station,,,DIC
Santa Cruz,19.0815223,72.8417565,train_station,,,STC
Sanehwal,30.8379918,75.9790542,train_station,,,SNL
Jassowal,30.800132,75.8321086,train_station,,,JSL
Bangalore Cantonment,12.9936865,77.5980003,train_station,,,BNC
Thane,19.186483,72.9757664,train_station,,,TNA
Chennai Chetpet,13.0743424,80.242421,train_station,,,MSC
Bisanattam,12.8422451,78.2498583,train_station,,,BSM
Kuppam,12.74728,78.3403626,train_station,,,KPN
Mulanur,12.662548,78.4067546,train_station,,,MAR
Patchur,12.5865309,78.4697329,train_station,,,PU
Pattaravakkam,13.1143904,80.1663975,train_station,,,PVM
Ramesh Nagar,28.6527444,77.1316496,train_station,,,
Anand Vihar,28.6498106,77.3144992,train_station,,,ANVR
Gujhandi,24.498121,85.463683,train_station,,,GJD
Kalipahari,23.6648496,87.0162555,train_station,,,KPK
Dankuni,22.6779609,88.2907626,train_station,,,DKAE
Sealdah,22.5679661,88.3711047,train_station,,,SDAH
Bengaluru East,13.0011462,77.6183453,train_station,,,BNCE
Kanchipuram,12.8483107,79.705073,train_station,,,CJ
Hoshiarpur,31.5243314,75.9059959,train_station,,,HSX
Walajabad,12.7968265,79.8185833,train_station,,,WJ
Kanchipuram East,12.8408612,79.7121979,train_station,,,CJE
Pattabiram Military Siding,13.1373759,80.0601177,train_station,,,PTMS
Etawah Junction,26.7869304,79.0209359,train_station,,,ETW
Tirumalpur,12.9565668,79.6737627,train_station,,,TMLP
Patel Nagar,28.6450127,77.1692817,train_station,,,
