name,lat,lng,type,state,district
Maulana Abul Kalam Azad University of Technology,22.5964916,88.4174395,university,,
National Institute of Technology Calicut,11.32158,75.934214,university,,
TIFR Cosmic ray station,11.3832903,76.6659146,university,,
Lovely,31.2601582,75.7072536,university,,
Computer Science Department,17.4072027,78.5194123,university,,
Karnataka State Open University,12.315382,76.6236231,university,,
Kongu engineering college,11.2721791,77.6039999,university,,
Tamil University,10.7496345,79.0932687,university,,
"Kannada University, Hampi",15.2831818,76.4907132,university,,
LPU,31.2549211,75.7046191,university,,
UBDT College of Engineering,14.4525199,75.9179512,university,,
"Govt T D Medical College, Alappuzha",9.4162097,76.3481572,university,,
"ਪੰਜਾਬੀ ਯੂਨੀਵਰਸਿਟੀ, ਪਟਿਆਲਾ",30.3581588,76.4542071,university,,
Janta College,26.6627077,79.1742253,university,,
Karunya University,10.9359043,76.7441816,university,,
Academic Block,27.1297346,93.7429324,university,,
Agricultural Department and CMS (Centre of Management Studies),27.1317208,93.7437305,university,,
Mechanical deptt.,27.130701,93.7431047,university,,
SDM Degree College,12.9902652,75.3326518,university,,
SDM Institute of Technology,12.9901503,75.3410847,university,,
Sant Gadage Baba University,20.9402767,77.7989339,university,,
"Indian Institute of Management, Kozhikode",11.2929703,75.873629,university,,
JCB block,29.025457,77.0585085,university,,
D.C.R.U.S.T,29.0251333,77.0579291,university,,
E2- Block,28.5445826,77.3338694,university,,
F blocb,22.6264173,75.7917438,university,,
Indian Institute of management Indore,22.6268474,75.7904077,university,,
Maulana Abul Kalam Azad Institute of Asian Studies,22.5708108,88.4136384,university,,
International School of Business & Media,22.571115,88.4136891,university,,
NITTTR Residential Campus,22.5768784,88.4302855,university,,
Aliah University,22.576544,88.432737,university,,
CIT Kokrajhar,26.4773975,90.3020608,university,,
"CSE Block, CIT Kokrajhar",26.4769557,90.3028332,university,,
"Hostel No.2, CIT Kokrajhar",26.4777048,90.3004729,university,,
AVM High School,17.317939,78.4032855,university,,
Vardhman Mahaveer Open University,26.8760984,75.8111925,university,,
CSIR-Indian Institute of Integrative Medicine,34.0330134,74.7993337,university,,
Karshika Gaveshanakendram,11.089522,76.1204102,university,,
